组织名称,大连经济技术开友区中里安康大约房
统一社会信用代码,912102133411697445
行政处罚决定文书号,大金普市监网处【2022】04号
法人代表人,陈鹤
违法行为类型,大连经济技术开发区中里安康大药房禾经审查发布药品厂告案
违法事实,当事人自2022年3月开始在其拼多多经的店铺中里安康医约健康专营店销售河南润弘本草制药有限公司生产的非处方药品“沉香化带丸”。该详情贝插有”沉香化滞带丸“约品图片等内容，标题描述是：“沉香化带丸治肚子胀气膜胀胃胀气饮食停滞带引起肚子胃顶胀消化不良”。该药品的说明书上标明的功能主治是“理气化滞。用于饮食停滞，胸腹胀满”。当事人未能提供药品广告审查证明，该约品厂告未经审查。该广告没有厂告费用。2022年6月2/日当事人提交的页面截图显示，已将涉案广告整改
处罚依据,依据《药品、医疗器械、保健食品、特殊医学用途配方食品厂告审查管理暂行力法》第二条之秒定。
处罚类别,罚款
处罚内容,责令当事人停止发布该广告，在相应范围内消除影响，罚款1000元
罚款金额（万元）,0.1-
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-08-10
处罚有效期,2099-12-31
公示截止期,2023-08-10
处罚机关,大连金普新区市场监管管理局
