组织名称,大连金普新区维霞康健诊所有限公司
统一社会信用代码,91210213MA0YD9P37U
行政处罚决定文书号,大金卫医罚2022】74号
法人代表人,蔡维霞
违法行为类型,《医疗机构管理条例》第二十七条
违法事实,"大连金普新区维霞康健诊所有限公司自2022年7月23日至7月28日，便用内科助理医师为儿童惠者开展诊疗活动并开处方，从事儿科诊疗活动，根据《医疗机构管理条例实施细则》第及十条第二款：“医疗机构便用卫生技术人员从事本专业以外的诊疗活动的,按使用非卫生技术人员处理“的规定，存在使用非卫生技术人员从事医疗卫生技术工作的行为，违反了《医疗机构管理条例》第二十七条，依据《医疗机构管理条例》第四十七条的规定，应予处罚，建设立案调查。"
处罚依据,医疗机构管理条例》第四十七条
处罚类别,罚款
处罚内容,大连金普新区维霞康健诊所有限公司自2022年7月23日至7月28日，便用内科助理医师为儿童惠者开展诊疗活动并开具处方，从事儿科诊疗活动，根据《医疗机构管理条例实施细则》第八十条第二款：“医疗机构使用卫生技术人员从事本专业以外的诊疗活动的，按便用非卫生技术人员处理”的规定，存在便用非卫生技术人员从事医疗卫生技术工作的行为，违反广《医疗机构管理条例》第二十七条，依据《医疗机构管理条例》第四十七条的规定，予以罚款人民市壹方元整的行政处罚。
罚款金额（万元）,1-
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-12-19
处罚有效期,2099-12-31
公示截止期,2023-12-19
处罚机关,大连金普新区卫生健康局
