组织名称,大连西郊农惠商贸服务有限公司
统一社会信用代码,91210211MA10TRRY0H
行政处罚决定文书号,大农农药罚[2022】7号
法人代表人,程绍国
违法行为类型,违反《农药管理条例》第五十七条第一项
违法事实,2022年10月13日：大连市农业农村局执法人员根据《关于加强农药经营企业安全生产场景化监管的通知要求，对大连西郊农惠商贸服务有限公司刘家村分公司进行了检查，检查时要求当事人分公司出示农药经营许可证，当事人分公司提供了当事人的农药经营许可证，但农药经营许可证分支机构栏上未标注当事人分公司。大连西农惠商贸服务有限公司设立分支机构未依法申请变更农药经营许可证的行为涉嫌违反农药管理条例》第二十五条第四款：“取得农药经许可证的农药经营者设享分支机构的，应当依法电请变更农药经营许可证，并向分支机构所在地县级以上地方人民政府农业主管部阶门备案，基分支机构免予力理农药经营许可证。农药经营者应当对基分支机构的经营活动负责。”之规定，当事人涉嫌设立分支机构未依法申请变更农药经营许可证的行为，有《现场检查笔录》等证据佐证，依据《农药管理条例》第五十七条应当给予行政处罚，经批准于2022年10月17日依法立案调查。
处罚依据,《农药管理条例》第五十七条第一项、《行政处罚法》第三十二条同时参照《大连市农业行政处罚自由裁量基准》（大农发［2018」359号】
处罚类别,没收违法所得、没收非法财物，罚款
处罚内容,1.没收违法所得331元；2.没收涉案联·螺螨酯2/袋、甲氢基阿维菌素本甲酸盐和蛋螨腺18组、春雷霉素38瓶、异菌·腐霉利95袋；3.处6500元罚款
罚款金额（万元）,0.650.0331
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-05
处罚有效期,2028-01-05
公示截止期,2024-01-05
处罚机关,大连市农业农村局
