组织名称,大连洪君商贸有限公司
统一社会信用代码,91210242MA11B7EM8U
行政处罚决定文书号,旅市监处罚【2022】85号
法人代表人,洪力君
违法行为类型,违反了《中华人民共和国食品安全法》第三十五条第一款：“国家对食品生产经营实行许可制度。从事食品生产、食品销售、餐饮服务，应当依法取得许可。但是，销售食用农产品，不需要取得许可。“的规定。
违法事实,经查，当事人大连洪君商贸有限公司成立于2021年8月25日，2022年1月份在位于旅顺口区韭菜房村租了两个冷库，用于存放从大连古牧源集团有限公司购进并销售的成品肉板。2022年7月疫情开始后，因生意不景气，当事人将其中一个冷库关闭，开始自行生产加工君牧源小包装雪花肥牛和羊排肉卷与成品肉板一同存放在未关闭的冷库中。截止查获时，当事人承认共生产加工规格为0.5kg的君牧源雪花肥牛330袋，20元/袋，货值为6600元：规格为0.5kg的君牧源羊排肉卷780袋，23元/袋，货值为17940元，货值金额共计为24540元。根据当事人的财务账单：规格为0.5kg的君牧源雪花肥牛当事人共销售了30袋，销售金额为600元：规格为0.5kg的羊排肉卷当事人销售了60袋，销售金额为1380元，共计1980元，即违法所得为1980元。当事人在该址无食品生产许可证，当事人的上述行为构成未取得食品生产许可证加工肉制品并包装销售的违法行为。
处罚依据,"依据《中华人民共和国行政处罚法》第二十八条第一款""行政机关实施行政处罚时，应当责令当事人改正或者限期改正违法行为。“和《中华人民共和国食品安全法》第一百二十二条第一款第（一）项“违反本法规定，未取得食品生产经营许可从事食品生产经营活动，或者未取得食品添加剂生产许可从事食品添加剂生产活动的，由县级以上人民政府食品药品监督管理部门没收违法所得和违法生产经营的食品、食品添加剂以及用于违法生产经营的工具、设备、原料等物品：违法生产经营的食品、食品添加剂货值金额不足一万元的，并处五万元以上十万元以下罚款：货值金额一万元以上的，并处货值金额十倍以上二十倍以下罚款。”"
处罚类别,没收违法所得，罚款
处罚内容,一、罚款人民币合计49080元，没收违法所得1980元，罚没款金额合计51060元，上缴国库。
罚款金额（万元）,50.106
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-06
处罚有效期,2024-01-06
公示截止期,2026-01-06
处罚机关,大连市旅顺口区市场监督管理局
