组织名称,大连吉洋食品有限公司
统一社会信用代码,91210212MA0YW36Q1C
行政处罚决定文书号,旅市监处罚【2021】108号
法人代表人,孔繁东
违法行为类型,"违反广《中华人民共和国食品安全法》第三十四条第一款第（二项""禁止生产经营下列食品、食品添加剂、食品相关产品：（二）致病性微生物，农药残留、兽药残留、生物毒素、重金属等污染物质以及其他危害人体健康的物质合量超过食品安全标准限量的食品、食品添加剂、食品相关产品“的规定，"
违法事实,"2021年9月17日，旅顺口区市场监督管理局执法人员接到南京市市场监督管理局移交过来的抽样检验报告，称大连吉洋食品有限公司2021年7月12日生产销售的干燥裙带菜经抽样检验，铅（以pb计)项目不符合GB2762-2017《食品安全国家标准食品中污染物限量》要求，检验结论为不合格。我局执法人员于2021年9月17日到大连吉洋食品有限公司进行现场检查并送达了检验报告，现场未发现抽检的这个批次干燥裙带菜。经查：2021年7月12日：大连吉洋食品有限公司生产销售的干燥裙带菜经抽样检验，铅（以pb计)mg/kg项目,标准指标：≤1.Omg/kg，实测值：1.28mg/kg,不符合GB2762-2017《食品安全国家标准食品中污染物限量》要求，检验结论为不合格。我局执法人员于2021年9月17日将编号为NQ：（2021）SJZFC-JC3632的检验报告送达当事人：当事人在7个工作日内未提出复检要求违法行为。截止查获时止：当事人承认2021年7月12日生产的这个批次""干燥裙带菜""是南京的一个客户跟他电话订购的，一共订购了20箱，每箱20袋，每袋100g,每公斤销售价格60元，全部销售给南京客户了，销售金额共2400元即货值金额为2400元。当事人供述利润为20%，共计利润为480元即违法所得480元。公司建立了生产记录和销售记录，公司没有库存这个批次的干燥裙带菜。在接到不合格检验报告后，该公司立即后启动召回程序，通知供应商，在生产经营场所张贴台回公告，由于销售时间较长，没有召回问题食品。"
处罚依据,依据《中华人民共和国行政处罚法》第二十八条第一款“行政机关实施行政处罚时，应当责令当事人改正或者限期改正违法行为。“和《中华人民共和国食品安全法》第一百二十四条第一款第（一）项“违反本法规定，有下列情形之一，尚不构成犯罪的，由县级以上人民政府食品药品监督管理部门没收违法所得和违法生产经营的食品、食品添加剂，并可以没收用于违法生产经营的工具、设备、原料等物品：违法生产经营的食品、食品添加剂货值金额不足一万元的，并处五万元以上十万元以下罚款：货值金额一万元以上的，并处货值金额十倍以上二十倍以下罚款：情节严重的，吊销许可证：（一）生产经营致病性微生物，农药残留兽药残留、生物毒素、重金属等污染物质以及其他危害人体健康的物质含量超过食品安全标准限量的食品、食品添加剂。“的规定，
处罚类别,"没收违法所得,罚款"
处罚内容,1、责令当事人立即改正违法行为；2、没收违法所得人民币480元，罚款人民币20000元，罚没款共计人民币20480元，上缴国库。
罚款金额（万元）,20.048
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2021-12-14
处罚有效期,2022-12-14
公示截止期,2024-12-14
处罚机关,大连市旅顺口区市场监督管理局
