组织名称,大连花园口经济区丰海船舶修造
统一社会信用代码,91210245MA0Y1N1D9U
行政处罚决定文书号,庄市监（信处罚【2023】1号
法人代表人,郭传海
违法行为类型,违反了国务院《关于清理、取缔“三无“船舶的通告》的规定，属于未履行审批手续擅自建造船舶违法行为并直情节产重。
违法事实,"经查，2022年6月6日，当事人未经审批私自建造“三无""船舶后交付长海县大长山岛镇杨家村张文又便用，张文又驾驶该船舶到长海县乌鳞岛装运货物，在返航途中船舶及船上4名人员失联：2022年7月，当事人在大连花园口经济区明阳街道尖山村周中屯建造了5艘船舶，但提供不出任何建造手续。"
处罚依据,玉务院《关于清理、取缔”三无“船舶的通告》“对未行审批手续擅自建造改装船的造船厂，由工商行政管理机关处船价2倍以下的罚款，情节严重的，可依法吊销其营业热照
处罚类别,暂扣或者吊销许可证、暂扣或者吊销执照
处罚内容,吊销营业执照
罚款金额（万元）,
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,营业执照
处罚决定日期,2023-01-04
处罚有效期,2028-01-04
公示截止期,2026-01-04
处罚机关,庄河市市场监督管理局
