组织名称,大连汇盛术业有限公司
统一社会信用代码,91210282MA113E5E0E
行政处罚决定文书号,普]应急罚[2022]81005号
法人代表人,金伟华
违法行为类型,该单位有未采取措施消除事故隐惠的行为。违反了中华人民共和国安全生产法香治理制度，采取技术、管理措施，及时发现并消除事故隐惠。事故隐惠排查治理情况应当如实记录，并通过职工大会或者职工代表大会、信息公示栏等方式向从业人员通报。其中，重大事故隐惠排查治理情况应当及时向负有安全生产监督管理职责的部和职工大会或者职工代表大会报告。“的规定。
违法事实,2022年11月14日，大连市普兰店区应急管理局执法人员在对大连汇盛木业有限公司进行执法检查时，发现该单位有未采取措施消除事故隐惠的行为，
处罚依据,"依据《中华人民共和国安全生产法》第一白零二条：“生产经营单未采取施消除事故隐惠的，责令即消除或者限期消除，处五万元以下的罚款：生产经营单位拒不执行的，责令停产停业整顿，对其直接负责的主管人员和其他直接责任人员处五方元以上十方元以下的罚款：构成犯罪的，依照刑法有关规定道究刑事责任。"""
处罚类别,罚款
处罚内容,"给予处人民币壹万元（¥10,000.00）罚款的行政处罚。"
罚款金额（万元）,1-
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-03
处罚有效期,2053-01-03
公示截止期,2024-01-03
处罚机关,大连市普兰店区应急管理局
