组织名称,旭庭环益（大连）五金建材有限公司
统一社会信用代码,91210211MA7BUBLL9T
行政处罚决定文书号,大税三稽罚[2023]1号
法人代表人,宋元龙
违法行为类型,发票违法
违法事实,"根据国家税务总局大连市税务局第三稽查局发来的《关于维牧特（大连】贸易有限公司发票违法案件的协查函》（大税三稽协【2022】228号】的信息，我局对你单位进行立案检查。我局在注册登记地址和生产经营地址未能找到你单位，经公告送达相关税务文书，你单位至今失联，属于走逃失联企业。通过你单位中国农业银行大连分行（账号6213361015287236464）、浦发银行大连分行（账号750往来情况异常，存在虚开增值税专用发票情况。你单位于2022年1月1日至2022年7月31日期间对外开具与实际经营业务情况不符的增值税专用发票46份，发票代码2102213130，发票号码02146983、02490266-02490270：发票代码021022100113，发票号码00441976-00441995、00545623-00545632，品名为*黑色金属冶税额合计579,969.79元。"
处罚依据,根据《中华人民共和国发票管理力法》第二十二条第二款第（一）项任何单位和个人不得有下列虚开发票行为：（一）为他人、为自已开具与实际经营业务情况不符的发票”、第三十七条第一款“违反本力法第二十二条第二款的规定虚开发票的，由税务机关没收违法所得：虚开金额在1万元以下的，可以并处5万元以下的罚款：虚开金额超过1万元的，并处5万元以上50万元以下的罚款：构成犯罪的，依法追究刑事责任”、《国家税务总局辽宁省税务局国家税务总局吉林省税务局国家税务总局黑龙江省税务局国家税务总局大连市税务局关于发布东北区域税务行政处罚裁量基准>的公告》（2022年第1号）“六、违反发票及票证管理规定46.虚开发票（四）虚开金额超过100万元，或者有其他严重情节的处50万元罚款“的规定，对你单位上述虚开发票的行为，
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,50--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2023-01-04
处罚有效期,2023-01-20
公示截止期,2024-01-04
处罚机关,国家税务总局大连市税务局第三稽查局
