组织名称,大连克拉特国际贸易有限公司
统一社会信用代码,912102425760725927
行政处罚决定文书号,大税二稽罚【2023]1号
法人代表人,陈阳
违法行为类型,违反税收管理
违法事实,"EA171724】，一直挂在库存商品科自未做销售处理。你单位法定代表人陈阳陈述，该车辆作为2017年9月你单位7,750,000元借款的追加抵押车，于2020年8月车辆交付对方。但你单位一直未提供相关的借款合同和抵押合同予以证明。现有证据表明，该车辆2020年8月在外地上有一手车交易记录，2020年12月首次上牌照，2022年1月和2月有二手车的交易记录，车辆已实现销售。你单位2020年8少计主营业务收入2,241,797.83元，少计增值税销项税额为291,433.72元，少结转主营业务成本2,241,797.83元。上述事实，有以下证据证实：1.《大连克拉特国际贸易有限公司营业执照》复制件：2.《2022年3月应交税费-未交增值税明细账》复制件：3.《2022年3月库存商品-进口汽车-路虎明细账》复制件4.《2022年3月库存商品-进口汽车-关税明细账》复制件：5.《2022年3月库存商品-进口汽车-消费税明细账》复制件；6.《2022年5月发生额及余额表》复制件;7：《截止2022年3月31日库存商品明细表》复制件；8. (2018年2月3号记账凭证及原始单据》复制件；9.《车船税、一手车和二手车交易信息表》复制件：10.《机动车行驶证副本》复制件；11：《克拉特库存车说明》原件：12.《关于克拉特四辆车的说明》复制件；13.《询问（调查）笔录第一次（陈阳）》，附被询问人陈阳居民身份证复制件：14.《2012年1月至2020年12月增值税纳税申报表》复制件：15.《2011年至2020年企业所得税年度纳税申报表》复制件："
处罚依据,《中华人民共和国税收征收管理法》第六十三条第一款
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,3.898464--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2023-01-09
处罚有效期,2023-01-29
公示截止期,2024-01-09
处罚机关,国家税务总局大连市税务局第二稽查局
