组织名称,大连静安建筑工程有限公司
统一社会信用代码,91210200118513565T
行政处罚决定文书号,大税三稽罚【2022】43号
法人代表人,曲静波
违法行为类型,发票违法
违法事实,"该单位2019年，为逃避缴纳税款，购买了13份增值税普通发票，虚增成本，造成少缴企业所得税323,927.5元。该公司从2015年底开始主要从事大连湾街道前关村新机场回迁安置区（A2、A3、B2区）工程，曲静涛作为公司采购员，采购用于前关村新机场回迁安置区的工程材料,资金由出纳支付给他。采购员曲静涛在2016年认识一个叫佟恩和的人自称可以开发票。2019年4月，曲静涛联系佟恩和帮该单位开了13张增值税普通发票，曲静涛通过银行转账付给佟恩和4.5个税点。该公司于2019年4月收到曲静涛经手的13张增值税普通发票，总计金额1,295.710元。收到发票后计入“工程施工-材料费”，并于当期结转主营业务成本。述事实，有以下证据证实；1.《大连静安建筑工程有限公司营业执照》复制件2.《已证实虚开通知单》：3.《委托协查凭证清单》：4.《委托协查凭证货物清单》：5.《情况说明》：6.《当事人陈述》：7.《关于更换发票说明》：8.《授权书》；9.《扣押清单》复制件：《调取证据通知书》：10，《2019年3月31号记账凭证》24号、27号复制件：11.《工程施工明细账》复制件：12.《主营业务成本明细账》复制件：13.《主营业务收入明细账》复制件：14.《应付账款明细账》复制件；15.《建设工程施工合同》复制件16.《2019年企业所得税年度纳税申报表》、《2020年企业所得税年度纳税申报表》复制件：17.《询问（调查）笔录第一次（刘艳秋）》，附被询问人刘艳秋居民身份证复制件：18，《询问笔录第一次（曲静涛）》，附被询问人曲静涛居民身份证复制件：19.《讯问笔录（陈华足）》复制件，取自抚顺公安局新抚公安分局；"
处罚依据,"根据《中华人民共和国税收征收管理法》第六十三条第一款""纳税人伪造、变造隐匿、擅自销毁帐簿、记帐凭证，或者在帐簿上多列支出或者不列、少列收入，或者经税务机关通知申报而拒不申报或者进行虚假的纳税申报，不缴或者少缴应纳税款的，是偷税。对纳税人偷税的，由税务机关追缴其不缴或者少缴的税款滞纳金，并处不缴或者少缴的税款百分之五十以上五倍以下的罚款：构成犯罪的，依法追究刑事责任""的规定，拟对大连静安建筑工程有限公司的偷税行为予以处罚：根据《国家税务总局大连市税务局关于发布大连市税务行政处罚裁量（二）项""纳税人实施偷税且符合下列情况之一的，处不缴或者少缴的税款一倍以上二倍以下的罚款：1.纳税人不配合税务机关检查的；2.偷税比例在百分之五十以上的”，该单位愉税比例已达到69.12%，应予以一倍以上二倍以下的罚款；根据《东北区域税务行政处罚裁量基准》（国家税务总局辽宁省税务局国家税务总局吉林省税务局国家税务总局黑龙江省税务局国家税务总局大连市税务局公告2022年第1号）序号17中第一款第一项""五年内首次因偷税被税务机关处罚，并能够配合税务机关检查的，处不缴或者少缴的税款百分之五十的罚款""。鉴于大连静安建筑工程有限公司五年内首次发生偷税且能配合税务机关检查，根据“从旧兼从轻原则”，"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,16.196375
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-12-12
处罚有效期,2023-01-02
公示截止期,2023-12-12
处罚机关,国家税务总局大连市税务局第三稽查局
