组织名称,大连金逸酒业有限公司
统一社会信用代码,91210211MA10541R46
行政处罚决定文书号,大税三稽罚【2022】44号
法人代表人,赵霞
违法行为类型,发票违法
违法事实,"你单位2022年1月将过期积压的五丰小产地盘锦大米、德惠小町米、利是珍珠米等销售给饲料厂，收取现金124,607.00元，未做账务处理，造成少计2022年1月销售收入114,318.35元，少计提销项税额10,288.65元。上述违法事实，有以下证据证实：1.《大连金逸酒业有限公司营业执照》复制件：2.《询问（调查）笔录第一次（孙薇）》，附被询问人孙薇居民身份证复制件：3.《临期大米处理》统计表4.《送货单》复制件：5.2022年1月《增值税纳税申报表》复制件。"
处罚依据,"《中华人民共和国增值税暂行条例》第十九条第一款第（一）项“增值税纳税义务发生时间：（一发生应税销售行为，为收销售款项或者取得索取销售款项凭据的当天；先开具发票的，为开具发票的当天""和《中华人民共和国税收征收管理法》第六十三条第一款“纳税人伪造、变造、隐、擅自销毁账薄、记账凭证或者在账薄上多列支出或者不列、少列收入，或者经税务机关通知申报而拒不申报或者进行虚假的纳税报，不缴或者少缴应纳税款的，是偷税。对纳税人愉款百分之五十以上五倍以下的罚款：构成犯罪的，依法追究刑事责任""的规定你单位通过现金收取货款、隐销售收入，少计提销项税额，造成多取得留抵退税款的行为，属于偷税行为，应当予以处罚。鉴于在检查过程中，你单位能够积极配合我局检查"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,1.028865
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-12-14
处罚有效期,2022-12-29
公示截止期,2023-12-14
处罚机关,国家税务总局大连市税务局第三稽查局
