组织名称,大连弘盛达木业有限公司
统一社会信用代码,91210213661114726L
行政处罚决定文书号,2023070001
法人代表人,秦玉东
违法行为类型,《中华人民供和国大气污梁防治法》第四十五条：“产生含挥发性有机物废气的生产和服务活动，应当在密闭团空间或者设备中进行，并按照规定安装、便用污染防洽设施；无法密闭的，应当采取措施减少废气排放。”
违法事实,大连弘盛达术业有限公可共有两个生产车间，设有2间喷漆房，主要从事术制品加工。2022年10月20日，一间喷漆房正在使用，另一间喷漆房未使用。两间喷漆房均未安装废气处理设施，正在使用的喷漆房产生的废气未经处理直接排放到大气中。
处罚依据,《中华人民共和国大气污梁防法》第一白零八条第一项：“违反本法规定，有下列行为之一的，由县级以上人民政府生态环境主管部门责令改正，处二万元以上二十方元以下的罚款：拒不改止正的，责令停产整治：（一产生含挥发性有机物废气的生产和服务活动，未在密空间或者设备中进行，未按定安装便用污染防治设施，或者未采取减少废气排放措施的”
处罚类别,罚款
处罚内容,罚款人民币贰万元整（?20000）#
罚款金额（万元）,2--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-01-31
处罚有效期,2099-12-31
公示截止期,2024-01-31
处罚机关,大连市生态环境后
