组织名称,大连全美口腔诊所有限公司
统一社会信用代码,91210213341127210L
行政处罚决定文书号,大金普市监海处罚【2022】10号
法人代表人,门欣
违法行为类型,未经审查发布医疗广告案
违法事实,当事人于2022年6月9日在美团电商平台全美口腔店铺自行制作、发布儿童全口涂氟经营项目医疗广告，没有广告费，其宣传内容为“安全防歸齿、防蛀牙”。截至2022年11月3日，当事人发布上述医疗广告内容未经广告审查机关审查，。期间，通过平台店铺销售儿童全口涂氟服务8个，收取服务费974元。当事人接受调查后，立即停止发布上述广告，于2022年11月6日取得《医疗广告审查证明》。
处罚依据,其行为违反了《中华人民共和国厂告法》第十六条第一款第一项、第四十六条之规定，依据《中华人民共和国厂告法》第五十》条第一款第一项、第十四项、《中华人民共和国行政处罚法》第三十二条第一项之规定
处罚类别,罚款
处罚内容,罚款1000元
罚款金额（万元）,0.1
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-01-10
处罚有效期,2099-12-31
公示截止期,2024-01-10
处罚机关,大连金普新区市场监督管理局
