组织名称,西列化学大莲）有限公司
统一社会信用代码,912102137169872509
行政处罚决定文书号,大金普]应急罚[2023】AN01号
法人代表人,张铁洪
违法行为类型,《中华人民共和国安全生产法》第三十五条“生产经营单位应当在有较大危险因素的生产经营场所和有关设施、设备上，设置明显的安全警示标志“的规定：中华人民共和国安全生产法》第三十六条第一款“安全设备的设计、制造、安装便用、检测、维修、改造和报废，应当符合国家标准或者行业标准”的规定。
违法事实,一、制氮机房内的配电箱未设置安全警示标志：二、反应釜搅拌轴未设置防护罩o.
处罚依据,《中华人民共和国安全生产法》第九十九条“生产经营单位有下列行为之一的，责令限期改正，处五万元以下的罚款”第（一项“未在有较大危险因素的生产经营场所和有关设施、设备上设置明显的安全警示标志”：第（二】项安全设备的安装、使用、检测、改造和报废不符合国家标准或者行业标准”的规定。
处罚类别,罚款
处罚内容,罚款伍万元人民市的行政处罚
罚款金额（万元）,5--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-13
处罚有效期,2099-12-31
公示截止期,2024-01-13
处罚机关,大连金普新区应急管理局
