组织名称,大连心诚金属制品有限公司
统一社会信用代码,91210212MA0QFDWW34
行政处罚决定文书号,大税二稽罚【2023】4号
法人代表人,隋鑫钰
违法行为类型,发票违法
违法事实,"根据国家税务总局大连市税务局第三稽查局的《已证实虚开通知单》大连俊然商贸有限公司为你单位虚开25份增值税专用发票，发票代码为2102183130，发票号码为00547384-00547394，05020365-05020369，发票代码为2102191130，发票号码为02009161-02009169，发票金额1,874,734.86元，税额268,044.66元，价税合计2，142，779.52元：品名为*黑色金属/台炼压延品*冷轧板和黑色金属冶炼压延品*剪切板。你单位与大连俊然商贸有限公司签订合同，你单位通过银行转账可大连俊然商贸有限公司支付货款，2018年12月27日支付940，725.02元，2019年7月15日支付货款500,000元，2019年10月30日支付货款200000元。2019年11月5日支付货款150,000元，共支付4笔，付款合计1，790，725.02元，剩余款项352054.5元尚未支付。其中，第二笔支付500，000元通过大连俊然商有限公司存款账户和刘海燕、陈魁的个人账户，分另别于2019年7月18日、7月19日回流到你单位法定代表人隋鑫钰的个人账户合计412,200.00元。上货物加工成非气管道等产品后出售，你单位取得大连俊然商贸有限公司虚开的增值税专用发票分别于2019年3月认证抵扣进项税额129755.19元、6月认证抵扣进项税额138,289.47元，合计268,044.66元。2018年结转主营业务成本810,969.83元，2019年结转主营业务成本1063，765.03元，并在当年企业所得税前进行扣除。造成你单位多抵扣2019年3月进项税额129,755.19元、6月进项税额138,289.47元，合计268,044.66元：造成多列支2019年主营业务成本合计676，331.41元。"
处罚依据,《中华人民共和国税收征收管理法》第六十三祭第一款
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,2.537037--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-29
处罚有效期,2023-02-14
公示截止期,2024-01-29
处罚机关,国家税务总局大连市税务局第二稽查局
