组织名称,大连博锐人力资源服务有限公司
统一社会信用代码,91210242MA7N6LDA54
行政处罚决定文书号,2023070002
法人代表人,张景博
违法行为类型,者建设对大气环境有影响的项自，应当依法进行环境影响评价、公升环境影响评价件：向大气排放污染物的，应当符合大气污染物排放标准，遵守重点大气污染物排放总量控制要求。”
违法事实,限公司废气中臭气浓度最高值为48（无量纲），超出《恶臭污染物排放标准GB14554-93）中规定的排放限值20（无量纲）。经调查，大连博锐人力资源服务有限公司负责大连绿诺固废物处理有限公司的日常生产运营维护。
处罚依据,《中华人民共和国大气污染防治法》第九十九条第二项：“违反本法规定，有下列行为之一的，由县级以上人民政府生态环境主管部阶责令改止或者限制生产、停产整治，并处十万元以上一百万元以下的罚款：情节严重的，报经有批准权的人民政府批准，责令停业、关闭：（二)超过大气污染物排放标准或者超过重点大气污染物排放总量控制指标放大气污染物的：”
处罚类别,罚款
处罚内容,罚款人民币壹搭万元整￥100000)#
罚款金额（万元）,10--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-31
处罚有效期,2099-12-31
公示截止期,2024-01-31
处罚机关,大连市生态环境局
