组织名称,大连东霖机械支术有限公司
统一社会信用代码,912102137873082355
行政处罚决定文书号,2022070103
法人代表人,赵军
违法行为类型,《中华人民共和国水污染防治法》第三十九条：禁止利用渗井、渗坑、裂隙、溶洞，私设暗管，算改、伪造监测数据，或者不正常运行水污染防治设施等逃避监管的方式排放水污染物
违法事实,入到门外自制的雨水井里，经PH试纸检测，水质呈酸性。车间门外市政雨水并里发现一条废塑料材质的暗管，该暗管连接的方向为该单位地下污水储池的方向。暗管里有废水流入到市政雨水井里，最终排入市政污水管网。《检测报告》（北方水资源[20221第082403号】显示，该单位市政雨水井内污水PH值为2.6、COD为30mg/L、总磷为0.37mg/L、总氮为12.5mg/L、镍为0.29mg/L、总铬为0.17mg/L锌为0.39mg/L、氟化物为11.5mg/L。车间地下污水池污水PH值为4./、C0D为04mg/L、总磷为1.03mg/L、总氮为40.2mg/L、镍为0.75mg/L、总铬小于检出限、锌为4.82mg/L、氟化物为28.9mg/L。其中，市政雨水井内污水PH值没有达到（中华人民共和国污水综合排放标准（GB8978-19961排放限值。
处罚依据,《中华人民共和国水污染防治法》第八十三祭第三项：违反本法规定，有下列行为之一的，由县级以上人民政府环境保护主管部队责令改正或者责令限制生产停产整治，并处十方元以上一自白方元以下的罚款情节产严重的，报经有批准权的人民政府批准，责令停业、关闭：（三利用井、渗坑、裂隙、溶洞，私设暗管，算改、伪造监测数据，或者不正常运行水污染防治设施等逃避监管的方式排放水污染物
处罚类别,罚款
处罚内容,罚款人民币壹拾万元整（￥100000）#
罚款金额（万元）,10-
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-31
处罚有效期,2099-12-31
公示截止期,2024-01-31
处罚机关,大连市生态环境局
