组织名称,大连至诚石油化工有限公司
统一社会信用代码,91210283MA0QE84B4C
行政处罚决定文书号,(甘)应急罚【2022】1001号
法人代表人,王希福
违法行为类型,生产经营单位作业现场管理类违法
违法事实,"据市应急局提供线索：2022年8月29日，我局执法人员对位于甘井子区革镇堡街道中革村的原大连鑫诚木业公司进行检查。现场发现该公司院内有两个库房,其中一个库房停放1台加油车，另一个库房设置储油罐（存储柴油）和加油设施。经执法人员现场调查，车辆和储油设施属于大连至诚石油化工有限公司所有，该单位租用原大连鑫诚木业公司院内库房和场地，用于存储、销售油品。公安机关在现场对油罐内油品进行抽样后，我局立即对油品进行扣押，对储油罐和加油机等设施设备进行查封。经公安机关对抽取油品样品送化验室检测，储罐内油品属于车用柴油，闪点（闭口）69℃，属于危险物品。2022年10月8日，我局执法人员聘请专家，到油罐区进行勘验，结果证实该单位涉嫌储罐未采取可靠的安全措施储存危险物品。"
处罚依据,以上行为违反了《中华人民共和国安全生产法》第三十九条第二款：“生产经营单位生产、经营、运输、储存、使用危险物品或者处置废弃危险物品，必须执行有关法律、法规和国家标准或者行业标准，建立专门的安全管理制度，采取可靠的安全措施，接受有关主管部门依法实施的监督管理。“的规定。
处罚类别,罚款
处罚内容,"违法事实及证据：据市应急局提供线索，2022年8月29日，我局执法人员对位于甘井子区革镇堡街道中革村的原大连鑫诚木业公司进行检查。现场发现该公司院内有两个库房,其中一个库房停放1台加油车，另一个库房设置储油罐（存储柴油）和加油设施。经执法人员现场调查，车辆和储油设施属于大连至诚石油化工有限公司所有，该单位租用原大连鑫诚木业公司院内库房和场地，用于存储、销售油品。公安机关在现场对油罐内油品进行抽样后，我局立即对油品进行扣押，对储油罐和加油机等设施设备进行查封。经公安机关对抽取油品样品送化验室检测，储罐内油品属于车用柴油，闪点（闭口）69℃，属于危险物品。2022年10月8日，我局执法人员聘请专家，到油罐区进行勘验，结果证实该单位涉嫌储罐未采取可靠的安全措施储存危险物品。[证据—]  《现场检查记录》（甘）应急现记【2022】1126号、《勘验笔录》（甘）应急勘【2022】1001号、《查封扣押决定书》（甘）应急查扣【2022】1126号、《延长查封扣押期限决定书》（甘）应急查扣延期2022】1126号、《查封扣押（场所、设施、财物）清单》第1126号各1份。证明该单位存在：未采取可靠的安全措施储存危险物品的行为；[证据二1：《检验报告》1份（复印件）证明对油品样品进行检测，油品样品闭杯闪点为69℃，属于危险物品；【证据三】王希福询问笔录3份，邹萍询问笔录1份，证明王希福系大连至诚石油化工有限公司法定代表人，以该单位名义销售油品，为方便销售，将该单位销售油品存储在位于甘井子区新水泥路鑫诚木业院内的库房，使用2个储油罐储存，未将油品存储在专用仓库内；[证据四】《营业执照（副本）》复印件、《居民身份证》复印件2份、证明单位主体资格及相关人员身份我局于2022年10月25日依据《中华人民共和国行政处罚法》第四十四条、第四十五条及第六十三条的规定，向你单位直接送达了《行政处罚告知书》（甘应急告【2022】1001号），由你单位法定代表人王希福签收，在法定期限内未进行陈述、申辩,也未提出听证申请。以上行为违反了《中华人民共和国安全生产法》第三十九条第二款：“生产经营单位生产、经营、运输、储存、使用危险物品或者处置废弃危险物品，必须执行有关法律、法规和国家标准或者行业标准，建立专门的安全管理制度，采取可靠的安全措施，接受有关主管部门依法实施的监督管理。“的规定。依据《中华人民共和国安全生产法》第一零一条第（一）项：“生产经营单位有下列行为之一的，责令限期改正，处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款，对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款；构成犯罪的，依照刑法有关规定追究刑事责任：（一）生产、经营、运输、储存、使用危险物品或者处置废弃危险物品，未建立专门安全管理制度、未采取可靠的安全措施的：“的规定，参照《中华人民共和国行政处罚法》、《安全生产行政处罚自由裁量使用规则（试行）》，你单位无从重或从轻处罚情节，经集体讨论，决定给予处人民币伍万元整罚款的行政处罚。"
罚款金额（万元）,5
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2023-01-11
处罚有效期,2023-01-25
公示截止期,2024-01-11
处罚机关,区应急管理局
