组织名称,大连泛美和怡国际贸易有限公司
统一社会信用代码,912102420644171714
行政处罚决定文书号,大税二稽罚【2023】2号
法人代表人,魏国
违法行为类型,违反税收管理
违法事实,大连泛美和怡国际贸易有限公司2017年7月2#凭证记载从大连港和汽车国际贸易有限公司购入宾利车一辆，车架号为SCBBA63Y5CC016405，不含税金额6880341.92元，税额为1169658.08元。该车辆一直挂在库存商品科自未做销售处理，现有证据表明，由于大连泛美和怡国际贸易有限公司实际经营人陈阳个人经济原因将该车私自对外销售并未入账，该车于2017年12月在广西由一汽车经销企业缴纳车购税，车辆实现销售。因未找到该车同期同类销售价格，考虑到汽车商品的属性，以该车成本价格作为计税依据。造成少记2017年主营业务收入6880341.92元少结转主营业务成本6880341.92元，少计提增值税销项税额为1169658.13元：少计应纳税所得额0元。证据1：《讯问（调查）笔录第一次（杨丽娟）》、附被询问人杨丽娟居民身份证复印件：《询问（调查）笔录第一次（陈阳）》、附被询问人陈阳居民身份证复印件；证据2：营业执照复印件（大连泛美和怡汽车国际贸易有限公司）一份：证据3：宾利车抵押说明、大连泛美和怡汽车国际贸易有限公司记账凭证（2017年7月2#）、大连克拉特国际贸易有限公司记账凭证（2013年8月77#）、陈飞个人借记卡明细复印件：证据4：6001主营业务收入明细账（2014年第1期-2020年第12期）：证据5：6401主营业务成本-明细账（2014年第1期-2020年第12期）：证据6：1405库存商品-明细账（2014年第1期-2022年第3期）；证据7：222101应交税金-应交增值税（2014年第1期-2022年第5期）；证据8：大连泛美和怡汽车国际贸易有限公司2013年度-2016年12月增值税纳税申报表、2017年7月-2022年3月增值税纳税申报表：2014-2021年度企业所得税申报表；证据9:车架号为SCBBA63Y5CC016405车辆交易信息：证据10：说明证据11：大连泛美和怡汽车国际贸易有限公司记账凭（2015年6月6#2015年6月28#、2020年12月12#）
处罚依据,"你公司采取直接收款方式销售货物，且销售款已收到未申报缴纳增值税企业所得税的行为，造成少计提销项税额1169658.13元，但未实际造成少缴税款，根据《中华人民共和国税收征收管理法》第六十四条第一款""纳税人、扣缴义务人编造虚假计税依据的，由税务机关责令限期改正，并处五方元以下的罚款”的规定计税依据。根据《东北地区行政处罚裁量基准》第16条第（三项“编造虚假计税依据超过50万元或者有其他严重情节的，处1万元以上（不含）5万元以下的罚款""的规定，"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,5
没收违法所得、没收非法财物的金额（万元）,-
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-09
处罚有效期,2023-01-29
公示截止期,2024-01-09
处罚机关,国家税务总局大连市税务局第二稽查局
