组织名称,大连妙康中医诊所有限公司
统一社会信用代码,91210242MA114UD9X5
行政处罚决定文书号,大金卫医罚[2022】73号
法人代表人,孙稽恩
违法行为类型,《中华人民共和国基本医疗卫生与健康促进法》第三十八条第一款
违法事实,大连妙康中医诊所有限公司于2022年8月18日，在未取得《医疗机构执业许可证》的情况开展诊疗活动，违法所得合计人民巾市1元整，存任未取得《医疗机构执业许可证》擅自执业的行为，违反了《中华人民共和国基本医疗卫生与健康促进法》第十八条第一款，依据《中华人民共和国基本医疗卫生与健康促进法》第九十九条第一款的规规定，应予处罚，建设案调查。
处罚依据,《中华人民共和国基本医疗卫生与健康促进法》第九十九条第一款
处罚类别,没收违法所得、没收非法财物，罚款
处罚内容,大连妙康中医诊所有限公司于2022年8月18日，在未取得《医疗机构执业许可证》的情况下开展诊疗活动，违法所得合计人民市10元整，存任未取得《医疗机构执业许可证》擅自执业的行为，违反了《中华人民共和国基本医疗卫生与健康促进法》第三十》条第一款，依据《中华人民和国基本医疗卫生与健康促进法第九十九条第一款的规规定，
罚款金额（万元）,50.01
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2023-02-10
处罚有效期,2099-12-31
公示截止期,2024-02-10
处罚机关,大连金普新区卫生健康局
