组织名称,大连金普新区大枢和平医院有限合伙）
统一社会信用代码,91210213MA0TU91B8C
行政处罚决定文书号,大金卫医罚2022】78号
法人代表人,王天逊
违法行为类型,《医疗纠纷预防和处理条例》第十五条第一款
违法事实,11月1日至11月7日期间，患者曲某及王某华的住院病历存在未按规定填写病历资料的行为，违反了《医疗纠纷预防和处理条例》第十五条第一款，依据《医疗纠纷预防和处理条例》第四十七条第（四）项，应予处罚，建设案调查。
处罚依据,《医疗纠纷预防和处理条例》第四十七条第（四】项
处罚类别,罚款警告
处罚内容,大连金普新区天枢和平医院（有限合伙自2022年10月25日至10月31日与2022年11月1日至11月了日期间，惠者曲某及王某华的住院病历存在未按规定填写病历资料的行为，违反广《医疗纠纷预防和处理条例》第十五条第一款，依据《医疗红纷预防和处理条例》第四十七条第（四项，给予当事人1、警告：2、罚款人民市壹方元整的行政处罚。
罚款金额（万元）,1--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-02-13
处罚有效期,2099-12-31
公示截止期,2024-02-13
处罚机关,大连金普新区卫生健康局
