组织名称,大连金普新区仁爱老年病医院
统一社会信用代码,52210213MJ3040744Q
行政处罚决定文书号,大金卫医罚【2022】76号
法人代表人,蔡淑丽
违法行为类型,《医疗机构管理条例》第二十七条
违法事实,大连金普新区仁二爱老年病医院自2022年10月13日至10月23日期间便用未取得《医师资格证书》及医师执业证书》的人员为惠者开展中医针治疗活动，存在更用非卫生技术人员从事医疗卫生技术工作的行为，违反了《医疗机构管理条例》第二十七条，依据《医疗机构管理条例》第四十七条，应予处罚，建议立案调查。
处罚依据,《医疗机构管理条例》第四十七条
处罚类别,罚款
处罚内容,大连金普新区仁二爱老年病医院自2022年10月13日至10月23日期间，便用未取得《医师资格证书》及《医师执业证书》的人员为惠者开展中医针治疗活动，存任便用非卫生技术人员从事医疗卫生技术工作的行为，违反了“医疗机构管理条例》第二十七条，依据《医疗机构管理条例》第四十七条，给予该医院罚款人民币壹万元整的行政处罚。
罚款金额（万元）,1--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2023-01-31
处罚有效期,2099-12-31
公示截止期,2024-01-31
处罚机关,大连金普新区卫生健康局
