组织名称,大连金百味集团有限公司
统一社会信用代码,91210200756090296B
行政处罚决定文书号,(甘)应急罚【2022】3020号
法人代表人,郑兴
违法行为类型,安全生产规章制度等类违法
违法事实,根据大连市应急管理局交叉互检方案部署，2022年10月11日：我局执法人员对大连金百味集团有限公司安全生产相关工作进行检查，发现你单位存在：1、未建立安全风险分级管控制度。2、未采取可靠方式存储、使用危险物品。经现场检查和勘验，该单位锅炉房作为燃气使用场所，未设置可燃气体报警器。天然气储罐存在与周边内、外部防火间距不足等隐患。
处罚依据,"以上行为违反了1、你单位未建立安全风险分级管控制度的行为，违反了《中华人民共和国安全生产法》第四十条第一款：“生产经营单位应当建立安全风险分级管控制度，按照安全风险分级采取相应的管控措施。“的规定。2、你单位未采取可靠方式存储危险物品的行为，违反了《中华人民共和国安全生产法》第三十九条第二款：“生产经营单位生产、经营、运输、储存、使用危险物品或者处置废弃危险物品，必须执行有关法律、法规和国家标准或者行业标准，建立专门的安全管理制度，采取可靠的安全措施，接受有关主管部门依法实施的监督管理。“的规定我局于2022年11月25日依据《中华人民共和国行政处罚法》第四十四条、第四十五条及第六十三条的规定，向你单位直接送达了《行政处罚告知书》（甘）应急告【2022】3020号），由你单位负责人赵明泽签收。在法定期限内未进行陈述、申辩,也未提出听证申请。"
处罚类别,罚款
处罚内容,"违法事实及证据：根据大连市应急管理局交叉互检方案部署，2022年10月11日我局执法人员对大连金百味集团有限公司安全生产相关工作进行检查，发现你单位存在：1、未建立安全风险分级管控制度。2、未采取可靠方式存储、使用危险物品。经现场检查和勘验，该单位锅炉房作为燃气使用场所，未设置可燃气体报警器。天然气储罐存在与周边内、外部防火间距不足等隐患。证据1：《现场检查记录》（甘）应急现记【2022】JC3001号、《现场检查记录》（甘）应急现记[2022】JC3001-1号、《责令限期整改指令书》（甘）应急责改【2022）JC3001号、《勘验笔录》（甘）应急勘【2022）JC3001号、《查封扣押决定书》（甘）应急查扣【2022】JC3001号、《查封扣押（场所、设施、财物）清单》第JC300号各1份，证明你单位存在：1、未建立安全风险分级管控制度；2、未采取可靠方式存储、使用危险物品的行为：证据2：你单位受委托人赵明泽（副总经理）询问笔录1份，证明该单位存在：1、未建立安全风险分级管控制度；2、未采取可靠方式存储、使用危险物品的行为；证据3：你单位《营业执照（副本）》复印件1份，居民身份证（复印件）1份，授权委托书1份，证明该单位主体资格和相关人员身份。以上行为违反了1、你单位未建立安全风险分级管控制度的行为，违反了《中华人民共和国安全生产法》第四十条第一款：“生产经营单位应当建立安全风险分级管控制度，按照安全风险分级采取相应的管控措施。“的规定你单位未采取可靠方式存储危险物品的行为，违反了《中华人民共和国安全生产法》第三十九条第二款：“生产经营单位生产、经营、运输、储存、使用危险物品或者处置废弃危险物品，必须执行有关法律、法规和国家标准或者行业标准，建立专门的安全管理制度，采取可靠的安全措施，接受有关主管部门依法实施的监督管理。“的规定。我局于2022年11月25日依据《中华人民共和国行政处罚法》第四十四条、第四十五条及第六十三条的规定，向你单位直接送达了《行政处罚告知书》（甘）应急告【2022】3020号），由你单位负责人赵明泽签收。在法定期限内未进行陈述、申辩,也未提出听证申请。参照《安全生产行政处罚自由裁量使用规则（试行）》相关规定，结合你单位违法事实，对以上两项违法行为分别裁量，作出以下行政处罚决定：1、针对未建立安全风险分级管控制度的行为，依据《中华人民共和国安全生产法》第一百零一条：“生产经营单位有下列行为之一的，责令限期改正，处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以上二二十万元以下的罚款，对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款；构成犯罪的，依照刑法有关规定追究刑事责任：（四）未建立安全风险分级管控制度或者未按照安全风险分级采取相应管控措施的：“的规定，决定给予处人民币壹万元整罚款的行政处罚。2、针对未采取可靠方式存储危险物品的行为，依据《中华人民共和正，处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以三十万元以下的罚款，对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款：构成犯罪的，依照刑法有关规定追究刑事责任：（一）生产、经营、运输、储存、使用危险物品或者处置废弃危险物品，未建立专门安全管理制度、未采取可靠的安全措施的：""的规定，决定给予处人民币参万元整罚款的行政处罚依据《安全生产违法行为行政处罚力法》第五十三条：“生产经营单位及其有关人员触犯不同的法律规定，有两个以上应当给予行政处罚的安全生产违法行为的，安全监管监察部门应当适用不同的法律规定，分别裁量，合并处罚。“的规定，两项合并处罚，决定给予处人民币肆万元整罚款的行政处罚"
罚款金额（万元）,4
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-01-13
处罚有效期,2023-01-28
公示截止期,2024-01-13
处罚机关,区应急管理局
