组织名称,压河市大富兽药有限公司
统一社会信用代码,91210283VA10BV/5325
行政处罚决定文书号,庄农(兽药)罚【2023】1号
法人代表人,于风英
违法行为类型,经营劣兽药案
违法事实,"当事人经营的山东聚德药业有限公司生产的批号为20220401H""注射用青霉素钾，于2022年6月2日被庄河市农业农村局执法人员依据大农发[2022125号支件监管抽检。辽宁省兽药饲料蓄产品质量安全检测中心于2022年11月8日签发《检验报告（报告书编号：SY22W/T0057)，其中检验项目：［含量测定]标准规定按干燥品计算，含C16H17KN2Q4S不得少于96.0%，检验结果75.4%，项自结论：不符合规定。[含量测定]标准规定按平均装量计算，含C16H17KN2O4S应为标示量的95.0%～115.0%，检验结果66.9%，项目结论：不符合规定。检验结论：本品依据《中国兽药典》2020年版一部检验，不符合规定。2022年12月20日接到辽宁省兽药饲料蓄产品质量安全检测中心的《检验报告》（报告书编号：SY22VWT0057），于当日送达到当事人。在规定的时间内，当事人没有向检验单位提出复检。2023年1月3日，经本机关负责人批准，对庄河市天富兽药有限公司涉嫌经营势兽药进行立案调查。通过对该药店进行现场检查、询问，当事人经营的被抽检批次的兽药已经全部销售。根据“兽约管理条例》第四十及条第一款第一项“有下列情形之一的，为劣兽药：（一）成分含量不符合善药国家标准或者不标明有效成分的之规定，该兽药认定为劣兽药。现查明，当事人经营的被抽检批次的兽药“注射用青霉素钾进了5盒×50支/盒，抽检了1盒，销售了4盒，售价30.00元/盒，实现销售收入120.00元。在调查过程中当事人对上述违法事实均予认可。"
处罚依据,《兽药管理条例》、（大连市农业行政处罚裁量基准》
处罚类别,没收违法所得、没收非法财物，罚款
处罚内容,1.没收违法所得0.012000万元：2.处货值（已售出和未售出）3倍罚款0.036000万元
罚款金额（万元）,0.0360.012
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-12
处罚有效期,2024-01-12
公示截止期,2024-01-12
处罚机关,庄河市农业农村局
