组织名称,大连山海慧医约连锁有限公司忠诚街分店
统一社会信用代码,91210204MA0TXMJA6T
行政处罚决定文书号,旅市监处罚【2022】99号
法人代表人,周杰
违法行为类型,大连山海慧医药连锁有限公司忠诚街分店未经许可销售第三类医疗器械，当事人的行为涉嫌违反了《医疗器械监督管理条例》第四十二条第一款“从事第三类医疗器械经营的，经营企业应当向所在地设区的市级人民政府负责药品监督管理的
违法事实,2022年10月23日，旅顺口区市场监督管理局执法人员到大连山海慧医药连锁有限公司忠诚街分店进行现场检查时，发现该单位经营苏州碧迪医疗器械有限公司生产新优锐一次性使用注射笔用针头。执法人员请当事人提供第三类医疗器械经营许可证，当事人未能提供。经查，大连山海慧医药连锁有限公司忠诚街分店2022年8月25日从大连山海慧医药连锁有限公司购进苏州碧迪医疗器械有限公司生产新优锐一次性使用注射笔用针头20盒，批号：1063111，生产日期：2021年4月1日，注册证编号：国械注准20153140675，未能提供第三类医疗器械经营许可证。经查，上述产品进价：13.5元/盒，售价：15元/盒，购进20盒，销售11盒，剩余9盒未销售。以上医疗器械货值金额共计300元，违法所得：165元。当事人的上述行为，构成未经许可销售第三类医疗器械的违法行为。
处罚依据,"依据《中华人民共和国行政处罚法》第二十八条第一款""行政机关实施行政处罚时应当责令当事人故正或限期故正违法行为。”、《医疗器械监督管理条例》第八十条第一款第（三】项""有下列情形之一的，由负责药品监督管理的部门没收违法所得、违法生产经营的医疗器械和用于违法生产经营的工具、设备、原材料等物品：违法生产经营的医疗器械货值金额不足1万的，并处5万元以上15万元以下的罚款：货值金额1万元以上的，并处货值金额15倍以上30倍以下罚款：：·终身禁止其从事医疗器械生产经营活动：（三）未经许可从事第三类医疗器械经营活动。“的规定。"
处罚类别,没收违法所得、没收非法财物，罚款
处罚内容,1、没收批号为1063111的新优锐一次性使用注射笔用针头9盒。2、没收违法所得165元，罚款人民币5000元，罚没款合计人民币5165元上缴国库。
罚款金额（万元）,0.50.0165
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-16
处罚有效期,2024-01-16
公示截止期,2026-01-16
处罚机关,大连市旅顺口区市场监督管理局
