组织名称,大连华益建材有限公司
统一社会信用代码,91210211MA10JKYY1P
行政处罚决定文书号,大税三稽罚【2023】6号
法人代表人,杜华
违法行为类型,发票违法
违法事实,"凭证），列支管理费用办公费620,000.00元（2021年3月31日3号凭证）：合计1，979,116.00元，未取得发票等合法有效凭据。经核实，上述或本费用合计1,979,116.00元是虚列的，并未发生过实际业务：但已经全额在2021年企业所得税税前扣除，且未进行纳税调整。（二）你单位2021年3月通过收取开票费的方式，向大连东恒建筑工程有限公司开具16份增值税普通发票，发票代码：021022000104，发票号码：01246259-01246274，品名为水泥，金额共计1,598,960.00元，你单位共收取开票费79,948.00元。经核实双方之间不存在真实的购销业务，属于为他人开具与实际经营业务情况不符的发票，确认上述发票为虚开的增值税普通发票上述事实，有以下证据证实：《大连华益建材有限公司营业执照》复制件。2、大连华益建材有限公司的《2021年3月31日记账凭证》复制件。3、大连华益建材有限公司开具的《大连增值税普通发票》（发票代码：021022000104，发票号码：01246259-01246274）复制件。4、大连华益建材有限公司的成本明细账（2021年1月至12月）复制件。5、大连华益建材有限公司的企业所得税申报表（2021年度）复制件。《询问（调查）笔录第一次（杜华）》《询问（调查）笔录第二次（杜华）》，附被询问人杜华居民身份证复制件。《大连东恒建筑工程有限公司营业执照》复制件。8、大连东恒建筑工程有限公司的《情况说明》原件。《工商变更登记核准（备案）通知书》复制件10.《混凝疑土销售对账表》复制件。11.《支付协议书》复制件。连东恒建筑工程有限公司取得的《大连增值税普通发票》（发票代码：021022000104，发票号码：01246259-01246274）复制件。13、《询问（调查）笔录第一次（肖云玲）》，附被询问人肖云玲居民身份证复制件、证明、更正说明。4、大连市甘井子区大连湾镇人民政府苏家村民委员会的《情况说明》原件。大连市甘井子区大连湾镇人民政府苏家村民委员会的《2021年3月1日记账凭证16、大连市甘井子区大连湾镇人民政府苏家村民委员会提供的《大连增值税普通发票》（发票代码：021022000104，发票号码：01246259-01246274）复制件。17、《询问（调查）笔录第一次（苏运）》，附被询问人苏运居民身份证复制件、证明、情况说明。18《询问（调查）笔录第三次（杜华）》19、大连华益建材有限公司《情况说明》20、大连华益建材有限公司提交的2021年3月31日的记账凭证、相关发票、管理费用的明细账复制件。"
处罚依据,"根据《中华人民共和国税收征收管理力法》第六十三条第一款的规定：“纳税人伪造、变造、隐匿、擅自销毁帐簿、记帐凭证，或者在帐簿上多列支出或者不列少列收入，或者经税务机关通知申报而拒不申报或者进行虚假的纳税申报，不缴或者少缴应纳税款的，是偷税。对纳税人偷税的，由税务机关追缴其不缴或者少缴的税款、滞纳金，并处不缴或者少缴的税款百分之五十以上五倍以下的罚款：构成犯罪的，依法追究刑事责任。”，你单位未发生实际业务，在账簿上多列少缴税款50%至5倍罚款，根据《大连市税务行政处罚裁量基准》（2021年第6号）“五年内首次发生偷税且能配合税务机关检查""对应的罚款执行标准规定，对偷税行为按照少缴税款的50%处以罚款231,204.72元。根据《中华人民共和国发票管理力法》第二十二条第二款第（一）项的规定：“任何单位和个人不得有下列虚开发票行为：一）为他人、为自己开具与实际经营业务情况不符的发票""的规定，你单位向大连东恒建筑工程有限公司开具的16份增值税普通发票，发票代码：021022000104，发票号码：01246259-01246274，品名为水泥，共计1,598,960.00元的行为，为虚开增值税普通发票。根据《中华人民共和国发票管理力法》第三十七条规定：“违反本力法第二十十二条第二款的规定虚开发票的，由税务机关没收违法所得：虚开金额在1万元以下的，可以并处5万元以下的罚款；虚开金额超过1万元的，并处5万元以上50万元以下的罚款；构成犯罪的，依法追究刑事责任。，根据《大连市税务行政处罚裁量基准》（2021年第6号）“虚开金额超过100万元，或假企业、假出口情形，或情节严重、手段恶劣、社会影响较大、危害后果严重的，处20万元（不含）~50万元罚款”，你单位虚开金额超过100万元，对虚开发票行为处罚款500,000.00元。"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,73.120472
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-02-24
处罚有效期,2023-03-13
公示截止期,2024-02-24
处罚机关,国家税务总局大连市税务局第三稽查局
