组织名称,大连凡房店新华医院
统一社会信用代码,52210281M|3055/2/B
行政处罚决定文书号,大医保罚字【2023」第130003号
法人代表人,蔡维斌
违法行为类型,违反了《医疗保障基金使用监管管理条例》第二十条的相关规定，违反了《医疗保障基金使用监管管理条例第第十五条第一款的相关规定
违法事实,伪造变造医学文书、虚构医药服务项目，骗取医疗保障基金16489.8元；串换药品，造成医保基金损失505580.05元：挂床佳院，造成医保基金损失2942.86元。
处罚依据,依据《医疗保障基金便用监管管理条例》第四十条第二项、第三项的规定，《医疗保障基金使用监管管理条例第三十八条第四项的规定，《医疗保障基金使用监管管理条例第三十八条第一项的规定
处罚类别,罚款
处罚内容,退回编取的医疗保障基金16489.8元，处编取金额3.5倍的罚款5//14.3元，暂停精神科病房及诊、中医科病房及诊1年涉及医疗保障基金便用的医约服务。退回损失的医疗保障基金505580.05元，处造或损失金额2倍的罚款1011160.1元，暂停内科病房及！诊1年涉及医疗保障基金便用的医约服务。退回损失的医疗保障基金2942.86元，处造成损失金额1.5倍的罚款4414.29元。
罚款金额（万元）,107.33
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2023-02-03
处罚有效期,2025-02-03
公示截止期,2026-02-03
处罚机关,大连市医疗保障局
