组织名称,大连信宝硅业有限公司
统一社会信用代码,91210283MA0YKTDT6L
行政处罚决定文书号,庄自然资国土规监罚字【[2022】2-011号
法人代表人,李来干
违法行为类型,违反了《中华人民共和国士地管理法》第44条依据中华人民共和国土地管理法》第77条
违法事实,大连信宝硅业有限公司未经自然资源行政主管部门批准，于2019年4月擅自在庄河市太平岭乡太平岭村一甬碑屯占地建设轻钢结构力公房、轻钢结构加工间、混凝土结构料斗、破料设备、沉淀池、地及地面硬覆盖等建筑和和其他设施，总占地面积16307m，其中坑塘水面11579m、其他草地142m、内陆难涂4586m部分符合部分不符合庄河市土地利用总体规划。
处罚依据,违反了中华人民共和国士地管理法》第44条依据《中华人民共和国土地管理法》第77条
处罚类别,罚款
处罚内容,1、责令退还非法占用的了399平方米士地。2、限30日内自行拆除在非法占用的273平方米坑塘水面（不符合土地利用总体规划赔部分）上建设的建筑物及其他设施（混凝土结构料斗，恢复士地原状。3、没收在非法占用的11306平方米（符合士地利用总体规划培部分坑塘水面上建设的混凝王结构料斗、沉淀池、轻钢结构加工间、地磅、水泥地面硬覆盖等建筑物和其他设施。4、对非法占用的7164平方米坑塘水面处以每平方米15元罚款，罚款额为：107460，对非法占用的235平方米内陆难涂处以每平万米10元罚款，罚款额为：2350，合计罚款额为：109810元。
罚款金额（万元）,10.9--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-02-13
处罚有效期,2024-02-13
公示截止期,2024-02-13
处罚机关,庄河市自然资源局
