组织名称,大连市昊晟种业有限公司清莲分公司
统一社会信用代码,91210283MA0QEPQM08
行政处罚决定文书号,大农(农药)罚[2023]1号
法人代表人,黄丽娜
违法行为类型,《农药管理条例》第五十五条第一款第二项
违法事实,2022年12月13日，大连市农业农村局执法人员依据《农药管理条例》，根据《关于开展2022年秋季农作物种子市场检查的通知》要求，对大连市昊晟种业有限公司清莲分公司进行检查，检查时发现当事人货架上摆放有标称中农先科生物科技股份有限公司生产的农药登记证号：PD20150776白粉病专用农药，净含量：25g袋，经在中华人民共和国农业农村部种植业管理司网站查询，农药登记证号：P汇20150776农药登记证持有人为海南力智生物工程有限责任公司，与包装标注的生产企业中农先科生物科技股份有限公司不符，该农药涉嫌未取得农药登记证，根据《农药管理条例》第四十四条第二款“禁用的农药，未依法取得农药登记证而生产、进口的农药，以及未附县标签的农药，按照假农药处理”之规定，上述农药涉嫌为假农药，当事人涉嫌经营假农药的行为，有《现场检查笔录》等证据佐证，根据《农药管理条例》第五十五条第一款第二项“农药经营者有下列行为之一的，由县级以上地方人民政府农业主管部门责令停止经营，没收违法所得、违法经营的农药和用于违法经营的工具、设备等，违法经营的农药货值金额不足1万元的，并处5000元以上5万元以下罚款，货值金额1万元以上的，并处货值金额5倍以上10倍以下罚款：构成犯罪的，依法追究刑事责任：（二经营假农药”之规定，应当给予行政处罚，经批准于2023年1月3日依法立案调查。
处罚依据,《农药管理条例》第五十五条第一款第二项，参照《宁省农药管理行政处罚自由裁量基准》
处罚类别,没收违法所得、没收非法财物，罚款
处罚内容,1.没收违法所得198元：2.没收日粉病专用农药6袋；3.处6000元罚款。
罚款金额（万元）,0.60.0198
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-16
处罚有效期,2028-03-16
公示截止期,2024-03-16
处罚机关,大连市农业农村局
