组织名称,大连巾金华调味食品！
统一社会信用代码,91210213588065103
行政处罚决定文书号,大金普市监生处【2022】21号
法人代表人,姚大田
违法行为类型,2022年5月29日生产的丹东造日醋（规格：480毫升/瓶），经抽样检验，总酸（以之酸计项自不符合产品明示标准及质量要求，行为违反了《中华人民共和国产品质量法》第三十二条之规定
违法事实,当事人2022年5月29日生产的丹东酿造日醋（规格480毫升/瓶，20瓶/箱】经抽样检验，总酸项目（以酸计）不符合明示标准及质量要求。
处罚依据,依据《中华人民共和国产品质量法》第五十条：以不合格产品冒充合格产品的，责令停止生产、销售，没收违法生产、销售的产品，并处违法生产、销售产品货值金额百分之五十以上三倍以下的罚款：有违法所得的，并没收违法所得。
处罚类别,"没收违法所得,罚款"
处罚内容,没收违法所得300元；罚款600元
罚款金额（万元）,0.060.03
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-15
处罚有效期,2099-12-31
公示截止期,2024-03-15
处罚机关,大连金普新区市场监管管理局
