组织名称,大连大宅门食品有限公司
统一社会信用代码,91210213MA0QF5B|1F
行政处罚决定文书号,大金普市监生处【2023】01号
法人代表人,王超
违法行为类型,当事人2021年12月16日生产的原汁海胆罐头，经抽样检验，山梨酸及其钾盐（以山梨酸计】项不符合GB2760-2014（食品安全国家标准食品添加剂便用标准要求，行为违反了《中华人民共和国食品安全法》第一十四条第（十三项之规定。
违法事实,当事人2021年12月16日生产的原汁海胆罐头（规格：210克/罐），经抽样检验山梨酸及其钾盐（以山梨酸计）项目不符合GB2760-2014《食品安全国家标准食品添加剂使用标准》要求。
处罚依据,依据《中华人民共和国食品安全法》第一白二十四条第二款：“除前款和本法第一百二十三条、第一百二十五条规定的情形外，生产经营不符合法律、法规或者食品安全标准的食品、食品添加剂，依照前款规定给予处罚。“及第一款违反本法规定，有下列情形之一，尚不构成犯罪的，由县级以上人民府食品安全监管管理部队门没收违法所得和违法生产经营食品、食品添加剂，并可没收用于违法生产经的工具、设备、原料等物品：违法生产经营的食品、食品添加剂货值金额不足一万元的，并处五万元以上十万元以个罚款：货值金额一万元以上的，并处货值金额十倍以上二十倍以下罚款：情节严重的，吊销许可证”的规定予以处罚。
处罚类别,"没收违法所得,罚款"
处罚内容,没收违法所得756元；罚款5000元
罚款金额（万元）,0.50.0756
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-15
处罚有效期,2099-12-31
公示截止期,2024-03-15
处罚机关,大连金普新区市场监管管理局
