组织名称,丹东大唐农产品有限公司
统一社会信用代码,91210600552572680F
行政处罚决定文书号,大金普】应急罚【2023】9001号
法人代表人,李林
违法行为类型,《中华人民共和国安全生产法》第二十八条、第四十四条、第四十五条的规定。
违法事实,"在丹东大唐农产品有限公司""了·11“珊塌一般事故中，你单位现场安全管理存在漏洞，未对现场开展安全检查，未告知作业人员作业场所和工作岗位存在面粉袋册塌的造险因素及防范措施，未及时发现制止现场作业人员违规拆垛等违章作业行为。安全生产管理基础薄弱，未能有效落实安全生产主体责任，未向现场装卸作业人员提供劳动防护用品。未建立健全安全操作规程，未对现场装卸作业人员进行必要作业安全生产教育和培训，从业人员对拆垛危险性及避免堆垛倒塌等安全意识不强，对事故发生负有责任。"
处罚依据,《中华人民共和国安全生产法》第一百一十四条的规定。
处罚类别,罚款
处罚内容,给予你（单位1作出罚款人民币参搭方元的行政处罚。
罚款金额（万元）,30--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-16
处罚有效期,2099-12-31
公示截止期,2024-03-16
处罚机关,大连金普新区应急管理局
