组织名称,大连中远海运重工有限公司
统一社会信用代码,91210200604867131X
行政处罚决定文书号,2023014001
法人代表人,严承祥
违法行为类型,《中华人民共和国海洋环境保护法》第四十四条：海岸工程建设项自的环境保护设施，必须与主体工程同时设计、同时施工、同时投产用。环境保护设施应当符合经批准的环境影响评价报告书（表的要求。
违法事实,2022年11月28日，执法人员到位于甘井子区中远路80号的大连中远海运重工有限公司进行现场检查，该单位正常生产，经查该单位“远洋五”浮船坞已建成投产，“远洋五”浮船坞在修船坞期紧张时作为临时修船坞便用，该项自属于海岸工程报告书建设项目，环境保护设施已经建成但未进行验收，环境保护设施未达到规定要求即投入生产、使用。
处罚依据,《中华人民共和国海洋环境保护法》第及十条：违反本法第四十四条的定，海岸工程建设项自未建成环境保护设施，或者环境保护设施未达到规定要求即投入生产、使用的，由环境保护行政主管部队门责令其停止生产或者使用，并处二万元以上十万元以下的罚款。《生态环境行政处罚裁量基准》违反建设项目管理类，282号环境保护设施已建成未经验收或验收不合格，主体工程投入生产或者便用的，报告书项目：处4方元罚款。
处罚类别,罚款
处罚内容,罚款人民巾肆万元整￥40000）
罚款金额（万元）,4-
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-11
处罚有效期,2099-12-31
公示截止期,2024-03-11
处罚机关,大连市生态环境局
