组织名称,大连经济技术开发区林梅食品有限公司
统一社会信用代码,91210213756054957T
行政处罚决定文书号,大金普市监生处【2022】20号
法人代表人,马洪胜
违法行为类型,当事人2022年8月9日分装生产的单晶日糖，经抽样检验，还原糖分项自不符合G日T35883-2018（冰糖》的质量要求，行为违反了（中华人民共和国产品质量法第三十二条之规定。
违法事实,当事人2022年8月9日分装生产的单晶日糖（规格：248g/袋，40袋/箱1经抽样检验，还原糖分项自不符合GB/T35883-2018《冰糖》的质量要求。
处罚依据,依据《中华人民共和国产品质量法》第五十条：“在产品中掺杂、掺假，以假充真，以次充好，或者以不合格产品冒充合格产品，责令停止生产、销售，没收违法生产、销售的产品，并处违法生产、销售产品货值金额百分之五十以上三倍以下的罚款：有违法所得的，并处没收违法所得。情节严重的，吊销营业执照；构成犯罪的，依法追究刑事责任。“进行处罚
处罚类别,没收违法所得，罚款
处罚内容,没收违法所得140元；罚款140元
罚款金额（万元）,0.0140.014
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-04-03
处罚有效期,2099-12-31
公示截止期,2024-04-03
处罚机关,大连金普新区市场监督管理局
