组织名称,大连正中石油有限公司
统一社会信用代码,91210202MA0UXYN/0
行政处罚决定文书号,(中)应急罚【2022】3号
法人代表人,陈钦灿
违法行为类型,《中华人民共和国安全生产法》第二十八条第四款：“生产经营单位应当建立安全生产教育和培训档案，如实记录安全生产教育和培训的时间、内容、参加人员以及考核结果等情况“的规定
违法事实,未如实记录从业人员退明伟安全生产教育和培训考核情况
处罚依据,依据《中华人民共和国安全生产法》第九十七条“生产经营单位有下列行为之一的，责令限期正，处十万元以下的罚款：逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款，对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款：（四未如实记录安全生产教育和培训情况的及《安全生产行政处罚自由裁量适用规测试行》（原安全生产监管管理总局令第31号）第十四条：“当事人有下列情形之一的，应当依法从轻处罚：（二主动消除或者减轻安全生产违法行为危害后果的”
处罚类别,罚款
处罚内容,人民市伍什元罚款
罚款金额（万元）,0.5--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-11-02
处罚有效期,2022-11-02
公示截止期,2023-11-02
处罚机关,大连市中山区应急管理局
