组织名称,大连明博新北方宠物医院有限公司
统一社会信用代码,91210204MA0Y1H9C5B
行政处罚决定文书号,大农（兽药）罚【2023】2号
法人代表人,91210204MA0Y1H9C5B
违法行为类型,违反《兽药管理条例》第四十条第四款
违法事实,2023年2月8日，根据群众举报，大连市农业农村局农业综合行政执法队执法人员依法对位于大连市沙河口区西南路483号门头2号的大连明博新北方宠物医院有限公司进行执法检查，根据举报人提供的相关证据及现场检查其处方袭，执法人员与店长核实，该宠物医院便用的药品注射用硫酸长看新碱（长看新碱），批准文号：国药准字H20068151，为人用药品。热法人员现场制作了（现场检查擎录，提取了2023年1月3日至1月7日宠物由由（蓄主党佳媚治疗的病历和处方袭复即件。当事人涉嫌将人用药品用于动物，其行为违反了《兽药管理条例第四十一条第四款：“禁止将人用药品用于动物。“之规定，本机关于2023年2月9日，批准立案调查。
处罚依据,依据兽药管理条例》第六十二条
处罚类别,罚款
处罚内容,处1万元罚款
罚款金额（万元）,1--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2023-04-11
处罚有效期,2028-04-11
公示截止期,2024-04-11
处罚机关,大连市农业农村局
