组织名称,大连华都艺鑫传媒有限公司
统一社会信用代码,9121021368304786XG
行政处罚决定文书号,大税一稽罚[2023] 5号
法人代表人,高朋飞
违法行为类型,发票违法
违法事实,"根据国家税务总局沈阳市税务局第二稽查局发来的《协查函》（沈税二稽协【2023】23号和《已证实虚开通知单》，你单位取得了沈阳支奈维广告有限公司2018年12月虚开的增值税普通发票11份，发票代码为021001800104，发票号码为28634539-28634546.发票代码为021001800104，发票号码为2863455628634558货物名称""经营租赁*场地费、会展服务*公关活动服务、*会展服务*会议费、服装服装”，金额1,081,553.43元，税额32.446.57元，价税合计1，114,000.0元。协查函中显示，沈阳艾奈维广告有限公司自前为非正常状态。据你单位经理高朋飞陈述，你单位2020年之前的账簿全都丢失，你单位没在沈阳有过项自，也没跟沈阳的公司合作过，没有取得沈阳支奈维广告有限公司的发票。你单位2018年的账薄、记账凭证和有关资料已去失，并且是在检查人员下户检查时发现账薄、记账凭证等相关资料去失，在税务机关要求的限期内不能提供上述资料。经核实，你单位于2023年3月发现2018年账薄、记账凭证、合同等相关业务资料丢去失，且在税务机关要求的限期内未改正。通过金三系统查询你单位2018年的账薄资料未被税务机关检查过。因此核定你单位2018年企业所得税税额。"
处罚依据,根据《中华人民共和国税收征收管理法》第二十四条第一款、第六十条第一款第（二）项，《中华人民共和国税收征收管理法实施细则》第二十九条第二款和《国家税务总局大连市税务局关于修改大连市税务行政处罚裁量基准>的公告》（国家税务总局大连市税务局公告2021年第6号】第三十五条的规定
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,0.2--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-31
处罚有效期,2023-04-18
公示截止期,2024-03-31
处罚机关,国家税务总局大连市税务局第一稽查局
