组织名称,大连远大企业服务外包有限公司
统一社会信用代码,912102130794807630
行政处罚决定文书号,大税一稽罚【2023】8号
法人代表人,杨玉文
违法行为类型,其他违法
违法事实,"你单位2019年通过虚假雇佣员工的手段虚假列支工资薪金支出2,344,468.59元计4,468.59元现金。上述提取的现金中用于你单位支付办公场所租金78,660元，支付办公杂物费44,208.58元。造成你单位2019年少计企业所得税应纳税所得额2,221,600.01元。上述事实，有以下证据证实：1.《大连远大企业服务外包有限公司营业执照》复制件：2.《提请检查（推送）案源信息表》复制件：《2019年应付职工薪酬明细分类账》复制件：4.《2019年主营业务成本明细分类账》复制件；5.《虚假列支工资名单》复制件6.《企业情况说明》原件;7.《2019年记账凭证》复制件：8.询问（调查）笔录第一次（曾佳）》，附被询问人曾佳居民身份证复制件：9.《询问（调查）笔录第一次（杨玉文）》，附被询问人杨玉文居民身份证复制件；10.《公安局讯问笔录（吴昊天）》复制件;11：《公安局讯问笔录（杨玉文）》复制件；12.《办公楼租赁合同》、《买卖合同》复制件：13.《大连增值税普通发票》发票联原件；14.《2019年度企业所得税纳税申报表》复制件：15.《询问（调查）笔录第二次（杨玉文）》，附被询问人杨玉文居民身份证复制件。"
处罚依据,"你单位2019年虚假列支雇员工资薪金支出在税前扣除。根据《中华人民共和国税收征收管理法》第六十三条第一款“纳税人伪造、变造、隐匿、擅自销毁账簿、记账凭证,或者在账簿上多列支出或者不列、少列收入,或者经税务机关通知申报而拒不申报或者进行虚假的纳税申报,不缴或者少缴应纳税款的,是偷税。对纳税人偷税的，由税务机关追缴其不缴或者少缴的税款、滞纳金，并处不缴或者少缴的税款百分之五十以上五倍以下的罚款：构成犯罪的，依法追究刑事责任""的规定，属于偷税行为，应当予以处罚。鉴于在检查过程中，你单位能够积极配合我局检查，根据《国家税务总局大连市税务局关于发布大连市税务行政处罚裁量基准>的公告》（国家税务总局大连市税务局公告2018年第14号）第三十五条第（一）项""纳税人实施偷税且同时符合下列情况的，处不缴或者少缴的税款百分之五十以上一倍以下的罚款：1,纳税人配合税务机关检查的；2.偷税比例在百分之五十以下的""的规定"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,5.659874
没收违法所得、没收非法财物的金额（万元）,--
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-04-11
处罚有效期,2023-04-26
公示截止期,2024-04-11
处罚机关,国家税务总局大连市税务局第一稽查局
