组织名称,中油蔚蓝能源科技(大连)有限公司
统一社会信用代码,91210213MA0XX86QX7
行政处罚决定文书号,大税一稽罚【2023】7号
法人代表人,许国淼
违法行为类型,逃避缴纳税款
违法事实,"你单位2019年11月、2021年3月向大连润禹石油化工有限公司和昆明亮晟建筑工程有限责任公司销售柴油分别为8吨、9.375吨，货物已发出，价税合计分别为50，000.00元、60,000.00元，与大连润禹石油化工有限公司的业务有合同但找不到对应货物的确认单，与昆明亮晟建筑工程有限责任公司的业务找不到合同和对应货物的确认单，交付方式均为购买方自提，2019年10月、2021年2月通过银行转账方式预收货款。收取货款时借记银行存款，贷记应收账款，未确认收入、未计提销项税额、未结转成本，也未开具发票。上述销售的柴油主要来源于中国石油云南大理销售分公司，均支付了款项，取得了发票，对应的进项税额已经抵扣经核实，你单位于2021年2月将从昆明亮晟建筑工程有限责任公司取得的60,000.00元计入""应收账款/昆明亮晟建筑工程有限责任公司""科目（2021年2月0009号）：你单位于2019年10月将从大连润禹石油化工有限公司取得的50,000.00元错记到其他应收款/张静玉""科目（凭证号2019年10月第0025号）。上述两笔销售你单位均未确认收入、未计提销项税额。上述业务造成你单位少计2019年11月、2021年3月销项税额分别为5,752.21元、6,902.65元，少计2019年和2021年主营业务收入分别为44,247.79元、53,097.35元，少计2019年和2021年主营业务成本分别为45,745.85元、53,608.42元。上述事实，有以下证据证实：1、《中油蔚蓝能源科技（大连）有限公司营业执照》复制件及法定代表人许国淼身份证复制件：2、《询问（调查）笔录（第一次）（被询问人：梁超）》：附被询问人梁超居民身份证复制件：3、你单位实际控制人强苏平提供的《情况说明》及强苏平的身份证复制件：4、《中油蔚蓝已收款未开票明细（柴油）》复制件；5、销售柴油的购销合同及收货确认函的复制件；6、银行流水复制件;7、收取柴油货款的记账凭证及银行回单复制件：8、明细账（应收账款、其他应付款）的复制件：9、库存商品明细账（柴油）的复制件:10、增值税申报表的复制件;11、企业所得税申报表的复制件。"
处罚依据,"《中华人民共和国税收征收管理法》第六十三条第一款""纳税人伪造、变造、隐匿、擅自销毁账簿、记账凭证,或者在账簿上多列支出或者不列、少列收入,或者经税务机关通知申报而拒不申报或者进行虚假的纳税申报,不缴或者少缴应纳税款的,是偷税。对纳税人偷税的，由税务机关追缴其不缴或者少缴的税款、滞纳金，并处不缴或者少缴的税款百分之五十以上五倍以下的罚款：构成犯罪的，依法追究刑事责任""的规定，属于偷税行为，应当予以处罚。鉴于你单位五年内首次发生偷税且能配合税务机关检查，根据《国家税务总局辽宁省税务局国家税务总局吉林省税务局国家税务总局黑龙江省税务局国家税务总局大连市税务局关于发布《东北区域税务行政处罚裁量基准）的公告》（国家税务总局辽宁省税务局国家税务总局吉林省税务局国家税务总局黑龙江省税务局国家税务总局大连市税务局公告2022年第1号）第十七条第（一）项""五年内首次因偷税被的罚款“的规定"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,0.307744
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-04-10
处罚有效期,2023-04-25
公示截止期,2024-04-10
处罚机关,国家税务总局大连市税务局第一稽查局
