组织名称,大连华琦食品有限公司
统一社会信用代码,91210283796914368R
行政处罚决定文书号,2023050008
法人代表人,姚闯世
违法行为类型,《中华人民共和国环境保护法》第四十二条第四款：“严禁通过暗管、渗井、坑、灌注或者算改、伪造监测数据，或者不正常运行防治污染设施等逃避监管的方式违法排放污染物。”、《中华人民共和国水污染防治法》第三十九条：“禁止利用渗井、渗坑、裂隙、溶洞，私设暗管，算改、伪造监测数据，或者不正常运行水污染防治设施等逃避监管的方式排放水污染物。”
违法事实,2023年2月28日庄河生态环境分局执法人员前往位于辽宁省庄河市建设大街二段22号的大连华琦食品有限公司现场检查，发现该公司污水处理站南侧墙角有一日色自来水管，与污水排放管道相连，并各自按有开关阀门，阀门呈打开状，用于稀释排放的生产废水从而干扰自动在线监测数据，两根管道混合后的污水排入污水站西侧排水井，经在线监控设施巴歇尔槽后排入市政管网。庄河生态环境监测站工作人员在该公司污水站西侧排水井采集水样送检。2023年3月2日庄河生态环境监测站出具的《监测报告》（大环（庄）监字（2023】第005号】显示，该公司排放的废水中污染物浓度为：总磷11.7mg/L，超过《辽宁省污水综合排放标
处罚依据,《中华人民共和国环境保护法》第六十三条第三项：“企业事业单位和其他生产经营者有下列行为之一，尚不构成犯罪的，除依照有关法律法规规定予以处罚外，由县级以上人民政府环境保护主管部门或者其他有关门将案件移送公安机关，对其直接负责的主管人员和其他直接责任人员，处十日以上十五日以下拘留情节较轻的，处五日以上十日以下拘留：（三）通过暗管、井、渗坑、灌注或者算改、伪造监测数据，或者不正常运行防治污染设施等逃避监管的方式违法排放污染物的。”、《中华人民共和国水污染防治法》第八十三条第三项：“违反本法规定，有下列行为之一的，由县级以上人民政府环境保护主管部门责令改正或者责令限制生产、停产整治，并处十万元以上一百万元以下的罚款；情节严重的，报经有批准极的人民避府批准，责令停业、关闭：【三揉利用漆进、漆坑裂隙、溶洞，私设暗管，算改、伪造监测数据，或者不正常运行水污染防治设施等逃避监管的方式排放水污染物的；“
处罚类别,罚款
处罚内容,罚款人民币壹拾万元整￥100000)#
罚款金额（万元）,10
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-04-12
处罚有效期,2099-12-31
公示截止期,2024-04-12
处罚机关,大连市生态环境局
