组织名称,大连旅顺永嘉烟花专营有限公司
统一社会信用代码,91210212740907708X
行政处罚决定文书号,旅市监处罚【2023】17号
法人代表人,王嘉庆
违法行为类型,《中华人民共和国产品质量法》第十三条第二款“禁止生产、销售不符合保障人民健康和人身、财产安全的标准和要求的工业产品。具体管理力法由国务院规定
违法事实,2023年1月18日，执法人员接到局消保科传达的山东精准产品质量检测有限公司的检验报告，大连旅顺永嘉烟花专营有限公司销售的特装大地红经抽样检验：所检项目中引燃装置、药量不符合GB10631-2013《烟花爆竹安全与质量》标准，判定为被抽查产品不合格。2023年1月18日，执法人员对位于旅顺口区寺沟路55-1号的经营场所进行现场检查并送达了检验报告，现场在该公司库房内发现存放的涉案产品288挂0.05g总药量47.5g1000头C级特装大地红，执法人员当场对涉案产品实施了扣押的行政强制措施，下达了实施行政强制措施决定书。经查：2023年1月18日，旅顺口区市场监督管理局执法人员接到局消保科传达的山东精准产品质量检测有限公司的检验报告，称大连旅顺永嘉烟花专营有限公司销售的特装大地红经抽样检验，所检项目中引燃装置、药量不符合GB10631-2013《烟花爆竹安全与质量》标准，判定为被抽查产品不合格。我局执法人员于2023年1月18日提出复检要求。至查获之日起，当事人承认抽检的特装大地红是2022年10月20日由大连市市场监督管理局组织委托山东精准产品质量检测有限公司实施的。抽检的型号规格/样品等级为单个药量：0.05g总药量47.5g1000头C级特装大地红生产日期是2021年9月：抽检的这批特装大地红是公司于2022年9月份从湖南醴陵市明达花炮有限公司采购的，一共采购15箱，每箱20挂，一共300挂。采购价是每箱120元，销售价是每箱140元：因为是批发公司，都是按照批发价格进行销售的：即货值金额2100元。当时抽检了12挂，按照每挂7元的价格销售的，销售价是84元，共获利12元，即违法所得12元。其余288挂尚未销售，都在库房内存放的。当事人的上述行为构成销售不符合《烟花爆竹安全与质量》标准的产品的违法行为。
处罚依据,一十《》应当责令当事人改正或者限期改正违法行为。“和《中华人民共和国产品质量法》第四十九条“生产、销售不符合保障人体健康和人身、财产安全的国家标准、行业标准的产品的，责令停止生产、销售，没收违法生产、销售的产品，并处违法生产、销售产品（包括已售出和未售出的产品，下同）货值金额等值以上三倍以下的罚款：有违法所得的，并处没收违法所得：情节严重的，吊销营业执照；构成犯罪的，依法追究刑事责任。“的规定，
处罚类别,"没收违法所得、没收非法财物,罚款"
处罚内容,1、没收违法所得人民币12元，罚款人民币3150元，共计罚没人民币3162元，上缴国库。2、没收288挂0.05g总药量47.5g1000头C级特装大地红。
罚款金额（万元）,0.3150.2136
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-04-10
处罚有效期,2024-04-10
公示截止期,2026-04-10
处罚机关,大连市旅顺口区市场监督管理局
