组织名称,凡房店市成大方圆八二约房
统一社会信用代码,91210281MA107Q6W8E
行政处罚决定文书号,瓦市监处字[2022】 111号
法人代表人,关戈
违法行为类型,《中华人民共和国药品管理法》第九十八条
违法事实,当事人于2021年1月24日、2021年1月27日、2021年2月18日、2021年2月26日、2021年10月18日、2021年11月29日分6批次从大连为众药业有限公司购进势药炒酸枣仁共计13kg，购进价格为：第1批至第4批次共11kg，进价328元/kg，第5、6批次共2k9，进价480元/k9，药店统一的零售价格为380元/kg：截止2022年10月17日，全部销售，无剩余，上述药品货值金额为4940元，去除成本，销售药品获违法所得372元。
处罚依据,（中华人民共和国药品管理法实施条例第七十五条，参照辽宁省药品监督管理局行政处罚裁量权适用规定》（辽药监法【2021】63号】第十三条
处罚类别,没收违法所得
处罚内容,没违法所得
罚款金额（万元）,--0.0372
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-11
处罚有效期,2023-11-11
公示截止期,2023-11-11
处罚机关,房店市市场监督管理局
