组织名称,大连乐道乐星安全咨询服务中心
统一社会信用代码,91210202MA10Q9G664
行政处罚决定文书号,大应急罚[2023】6004号
法人代表人,林虹
违法行为类型,违反了《安全生产培训管理力法》（国家安全生产监管管理总局令第44号，国家安全生产监管理总局令第80号第二次修正1第六条：“安全培训应当按规定的安全培训大纲进行。“的规定
违法事实,1、未按高压电工作业人员安全技术培训大纲进行培训，高压电工作业新培PT2023-0227091251班11人的视频留存材料中高压电工实操培训仅有1学时，培训大纲要求88学时。2、未按照高压电工作业人员安全技术培训大纲进行培训，无实际操作技能相关教学用（绝缘靴、十干伏验电笔、接地线、钳形电流表、登杆用具、避雷器等）。
处罚依据,依据安全生产培训管理力法》（国家安全生产监管管理总局令第44号，国家安全生产监管理总局令第80号第二次修正第三十四条：“安全培训机构有下列情形之一的，责令限期改正，处1万元以下的罚款：逾期未改正的，给予警告，处1万元以上3方元以下的罚款：（二未按照统一的培训大纲组织教学培训的；“的规定
处罚类别,罚款
处罚内容,决定给予处人民币壹万元罚款的行政处罚。
罚款金额（万元）,1-
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-30
处罚有效期,2099-12-31
公示截止期,2024-03-30
处罚机关,大连市应急管理局
