组织名称,辽宁御旋堂医药连锁有限公司大连元台镇大药房
统一社会信用代码,91210281MA0QCF8B8M
行政处罚决定文书号,瓦市监处字【20221120号
法人代表人,王秀
违法行为类型,《中华人民共和国药品管理法》第九十及条
违法事实,当事人于2021年3月5日、2021年4月19日、2021年9月9日分3次从大连为众药业有限公司购进劣药炒酸枣仁共计2.5KG。购进价格为：第1批0.5kg，进价358元/kg，第2、3批次共2kg，进价398元/kg，药店统一的零售价格为510元/kg：截止2022年10月28日，全部销售，无剩余，上述药品货值金额为1275元，去除成本，销售药品获违法所得300元。
处罚依据,（中华人民共和国药品管理法实施条例第七十五条，参照辽宁省药品监督管理局行政处罚裁量权适用规定》（约监法【2021】63号1第十二条
处罚类别,没收违法所得
处罚内容,没收违法所得
罚款金额（万元）,--0.03
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-11
处罚有效期,2023-11-11
公示截止期,2023-11-11
处罚机关,房店市市场监督管理局
