组织名称,庄河市红崖晓等
统一社会信用代码,7121028359443047X6
行政处罚决定文书号,主自然资国土规监罚字【2023】2-004号
法人代表人,赵顺义
违法行为类型,违反广《中华人民和国士地管理法》第四十四，依据《中华人民共和国士地管理法》第七十七条
违法事实,庄河市红崖晓寺未经自然资源（土地）行政主管部门批准，于2011年在庄河市新华街道小寺村建设混凝士结构6层楼时超占士地建设，并超占士地建设理石台阶地面及门卫房、地下车库等建筑物和其他设施。总超占王地面积847.2平方米，占地类型：有林地、村庄、农村道路，其中占用有林地410.9平方米、村庄1549平万米、农村道路281.4平万米
处罚依据,违反了《中华人民共和国土地管理法》第四十四条，依据《中华人民共和国士地管理法》第七十七条
处罚类别,罚款
处罚内容,1、责令退还非法占用的84/.2平方米士地；2、没收在非法占用的692.3平万米农用地（有林地410.9m、农村道路281.4m）上的建设的建筑物和其他设施E对非法占用的692.3平方米农用地，处以每平方米15元的罚款，罚款额：103845元；对非法占用的154.9平方米村压，处每平方米10元的罚款，罚款额：1549元。合计罚款额：11933.5元。
罚款金额（万元）,1.19
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2023-04-03
处罚有效期,2024-04-03
公示截止期,2024-04-03
处罚机关,庄河市自然资源局
