组织名称,大连东之机车电气设备有限公司
统一社会信用代码,912102007409303690
行政处罚决定文书号,
法人代表人,林存增
违法行为类型,《中华人民共和国安全生产法》第三十五条“生产经营单位应当在有较大危险因素的生产经营场所和有关设施、设备上，设置明显的安全警示标志”：第三十六条第二款：“生产经营单位必须对安全设备进行经常性维护、保养，并定期检测，保证正常运转。维护、保养、检测应当作好记录，并由有关人员签字
违法事实,1、电机仓库两处配电箱未设置安全警示标志2、存有危险化学品的仓库内，设置的防爆电器未检测。
处罚依据,《中华人民共和国安全生产法》第九十九条“生产经营单位有下列行为之一的，责令限期改正，处五万元以下的罚款：逾期未改正的，处五万元以上二十万元以下的罚款，对其直接负责的主管人员和其他直接责任人员处一万元以上二万元以下的罚款：情节产严重的，责令停产停业整：构成犯罪的，依照刑法有关规定追究事责任：（一未在有较大危险因素的生产经营场所和有关设施、设备上设置明显的安全警示标志的：（三】未对安全设备进行经常性维护、保养和定期检测的及《安全生产行政处罚自由裁量适用规则（试行》（原国象安全生产监管管理总局令第31号第十条“生产经营单位及其有关人员违反不同的法律规定，或者违反同一条款的不同违法情形，有两个以上应当给予行政处罚的违法行为的，应当适用不同的法律规定或者同一法律条款规定的不同违法情形，分另别裁量，台并处罚
处罚类别,罚款
处罚内容,处罚款人民币伍万元整
罚款金额（万元）,5--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-10
处罚有效期,2099-12-31
公示截止期,2024-01-10
处罚机关,大连市应急管理局
