组织名称,大连庄河市锦木果蔬专业台作社
统一社会信用代码,93210283MA0Y99GA5C
行政处罚决定文书号,主农(植检罚[2023]1号
法人代表人,赵明富
违法行为类型,未经检疫调运植物和植物产品
违法事实,2022年7月4日，庄河市农业农村局接到群众举报，称大连庄河市锦禾果蔬专业合作社于2021年8月从贵州省安县和四川省大凉山调运回庄河的草每苗，没有力理《植物检疫证书。7月6日，经负责人批准，对大连庄河市锦未果蔬专业合作社涉嫌未经检疫调运植物和植物产品进行立案调查。了月11日，庄河市农业农村局的执法人员对当事人法定代表人赵明富进行了询问，承认从贵州省瓷安县和四川省大凉山调运回庄河的草每苗未经过检疫，无植物检疫证书》的事实。当事人的行为违反了《植物检疫条例》第七条第一款第二项”（二凡种子、苗木和基他繁殖材料，不论是否列入应施检疫的植物、植物产品名单和运往何地，在调运之前，都必须领经过检疫受”之翘定。现音明，当事人自庄河市区域外调运回庄河市区域内草莓苗740万株，前期调运的草莓苗销售了400万株，由于调运的草莓苗种植后有死苗现蒙，后期文调运回340万株的草每苗免费发放给草每种植户补种销售的草莓苗售价0.80元/株，违法所得400万*0.80元/株=320万元。自前，该案事实已查清。
处罚依据,《植物检疫条例》、《宁省农业行政处罚自由裁量权适用规定
处罚类别,罚款
处罚内容,罚款0.900000万元
罚款金额（万元）,0.9
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-02-22
处罚有效期,2024-02-22
公示截止期,2024-02-22
处罚机关,庄河市农业农村局
