组织名称,庄河坎坎草莓有限公司
统一社会信用代码,91210283MA111QRB8R
行政处罚决定文书号,庄农（植检)罚【2023]2号
法人代表人,黄万勋
违法行为类型,未经检疫调运植物和植物产品
违法事实,2022年7月11日，庄河市农业农村局接到群众举报，称庄河玖玖草莓有限公司于2021年8月从从青海省海东市和四川省凉山州调运回庄河的草莓苗，没有力理《植物检疫证书》。了月12日，经负责人批准，对庄河玖玖草莓有限公司涉嫌未经检疫调运植物和植物产品进行立案调查。7月13日，庄河市农业农村局的执法人员对当事人委托人进行了询问，承认从从青海省海东市和四川省凉山州调运回庄河的草莓苗未经过检疫，无《植物检疫证书》的事实。当事人的行为违反了《植物检疫条例》第七条第一款第二项“（二凡种子、苗木和其他繁殖材料，不论是否列入应施检疫的植物、植物产品名单和运往何地，在调运之前，都必须经过检疫之规定。现查明，当事人自青海省海东市和四川凉山州调运回庄河市区域内草莓苗100万株，调运的草莓苗销售了56万株，由于调运的草莓苗种植后有死苗现象，后期支调运回44万株的草莓苗免费发放给草莓种植户补种。销售的草莓苗售价0.80元/株，违法所得56万*0.80元/株=44.8万。自前，该案事实已查清。
处罚依据,《植物检疫条例》、《辽宁省农业行政处罚自由裁量权适用规定》
处罚类别,罚款
处罚内容,罚款0.900000万元
罚款金额（万元）,0.9
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-02-22
处罚有效期,2024-02-22
公示截止期,2024-02-22
处罚机关,庄河市农业农村局
