组织名称,大连中翔国际旅行社有限公司
统一社会信用代码,9121021331149495Xk
行政处罚决定文书号,连]文综罚字[2022F-000039号
法人代表人,陈广华
违法行为类型,违反《旅游法》第三十五条第一款
违法事实,经查，大连中翔国际旅行社有限公司通过与火车站周边、酒店商务中心业务人员台作，宣传旅游产品、招徕游客、组织”一日游”活动。业务人员按照50-80元不等的价格宣传并收取游客旅游团款作为自身收益，旅行社以零团费“模式组织游客升展旅游活动。2022年7月5日，旅行社组织22名游客参加旅顺一日游”。旅行社在未征求游睿同意且未签订补充协设的情况下，增加了“翠玉轩”山海缘”2个购物场所。游客进店后，购物场所按照事先约定向旅行社支付两笔费用：一是10元人的”人头费”，二是游客购物消费“提成”回扣
处罚依据,根据（旅游法》第九十》条
处罚类别,没收违法所得，罚款，责令停产停业
处罚内容,责令停业整顿1个月：没收违法所得2284元：给予3.5万元罚款的行政处罚。
罚款金额（万元）,3.50.2284
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-11-22
处罚有效期,2099-12-31
公示截止期,2025-11-22
处罚机关,大连市文化和旅游局
