组织名称,大连施密特油墨有限公司
统一社会信用代码,91210200604887896T
行政处罚决定文书号,(甘)应急罚【2022】3019号
法人代表人,刘丽春
违法行为类型,安全生产隐惠管理类违法
违法事实,司安全生产相关工作进行检查，发现你单位生产车间室内排风系统屋顶离心通风机未采用防爆型设备，不符合《建筑设计防火规范》（GB50156）9.3.4空气中含有易燃、易爆危险物质的房间，其送、排风系应采用防爆型的通风设备。“的规定。
处罚依据,以上行为违反了《中华人民共和国安全生产法》第三十九条第二款：“生产经营单位生产、经营、运输、储存、使用危险物品或者处置废弃危险物品，必须执行有关法律、法规和国家标准或者行业标准，建立专门的安全管理制度，采取可靠的安全措施，接受有关主管部门依法实施的监督管理。“的规定。
处罚类别,罚款
处罚内容,违法事实及证据：根据大连市应急局交叉互检行动部署，2022年10月11日对大连施密特油墨有限公司安全生产相关工作进行检查，发现你单位生产车间室内排风系统屋顶离心通风机未采用防爆型设备，不符合《建筑设计防火规范》（GB50156）“9.3.4空气中含有易燃、易爆危险物质的房间，其送、排风系应采用防爆型的通风设备。“的规定。证据1：《现场检查记录》（甘）应急现记2022】JC3002号、《现场处理措施决定书》（甘】应急现决【2022】JC3002号，证明你单位存在生产车间室内排风系统屋顶离心通风机未采用防爆型设备的行为证据2：你单位安全生产部经理葛楠《询问笔录》1份，证明你单位存在生产车间室内排风系统屋顶离心通风机未采用防爆型设备的行为：证据3：现场照片3张，证明你单位AB车间、CD车间设置2套排风系统，但2套通风系统离心机未采用防爆型设备的行为；证据4：你单位《营业执照（副本）》复印件，居民身份证（复印件），法人授权委托书各1份，证明你单位主体资格和相关资质及人员身份。我局于2022年10月28日依据《中华人民共和国行政处罚法》第四十四条、第四十五条及第六十三条的规定，向你单位直接送达了《行政处罚告知书》（甘应急告【2022】3019号）：由你单位受委托人葛楠签收。在法定期限内未进行陈述、申辩也未提出听证申请。以上行为违反了《中华人民共和国安全生产法》第三十九条第二款：“生产经营单位生产、经营、运输、储存、使用危险物品或者处置废弃危险物品，必须执行有关法律、法规和国家标准或者行业标准，建立专门的安全管理制度，采取可靠的安全措施，接受有关主管部门依法实施的监督管理。的规定。参照《安全生产行政处罚自由裁量适用规则（试行）》相关规定，结合你单位违法行为，作出以下行政处罚决定。依据《中华人民共和国安全生产法》第一百零一条：“生产经营单位有下列行为之一的，责令限期改正，处十万元以下的罚款：逾期未改正的，责令停产停业整顿，并处十方元以上二十方元以下的罚款，对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款；构成犯罪的，依照刑法有关规定追究刑事责任：（一）生产、经营、运输、储存、使用危险物品或者处置废弃危险物品，未建立专门安全管理制度、罚。
罚款金额（万元）,2
没收违法所得、没收非法财物的金额（万元）,--
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-16
处罚有效期,2022-12-01
公示截止期,2023-11-16
处罚机关,区应急管理局
