组织名称,
统一社会信用代码,91210213747854389T
行政处罚决定文书号,2022070101
法人代表人,宋金波
违法行为类型,《中华人民共和国固体废物污染环境防治法》六十五条第二款：“从事畜离规模养殖应当及时收集、贮存、利用或者处置养殖过程中产生的蓄离粪污等固体废物，避免造成环境污染
违法事实,2022年8月9日，大连金普新区（金州）生态环境分局执法人员到位于辽宁省大连市金州区登沙河镇排子村的大连三寰乳业有限公司金州良种奶牛繁肯基地现场检音，该养殖基地现存栏100余头奶牛（根据建设项自环境影响评价分类管理名录2021版、蓄离养殖业污染物排放标准（GB18596-2001），属于报告书项自，检香发现养牛场内污由场内东南角红砖处溢出，顺看红砖墙缝溢流墙外河沟内。
处罚依据,《中华人民共和国固体废物污梁环境防治法》第一百零七条：“从事蓄离规模养殖未及时收集、贮存、利用或者处置养殖过程中产生的蕾离粪污等固体废物的由生态环境主管部队门责令改正，可以处十万元以下的罚款：情节严重的，报经有批准权的人民政府批准，责令停业或者关材
处罚类别,罚款
处罚内容,罚款人民币伍万元整（￥50000）
罚款金额（万元）,5--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-15
处罚有效期,2099-12-31
公示截止期,2023-11-15
处罚机关,大连市生态环境局大连市金普新区生态环境分局，
