组织名称,凡房店第二水泥
统一社会信用代码,9121028170211271X1
行政处罚决定文书号,2022040024
法人代表人,邵培忠
违法行为类型,《中华人民供和国噪声污染防治法》第二十二条：“放噪声、产生振动，应当符合噪声排放标准以及相关的环境振动控制标准和有关法律、法规、规章的要求
违法事实,2022年8月10日晚10点以后，大连市瓦房店（长兴岛经济区）生环境分局委托大连大公检验检测有限公司对瓦房店第三水泥厂夜间生产厂界噪声排放情况进行了检测。检测时，该厂处于生产状态。根据大连大公检验检测有限公司2022年8月16日出具的检测报告（大公环检委L）字2022年第1436号）显示，瓦房店第三水泥广厂界东北侧点位夜间噪声排放值为64分贝，超过了工业企业厂界环境噪声排放标准》（GB12348-2008规定的3类夜间排放标准限值（55分贝），超标9分贝。
处罚依据,《中华人民共和国噪声污染防治法》第七十五条违反本法规定，无排污许可证或者超过噪声排放标准排放工业噪声的，由生态环境主管部门责令改正或者限制生重一权的人民政府批准，责令停业、关闭。
处罚类别,罚款
处罚内容,罚款人民币伍万元整￥50000#
罚款金额（万元）,5-
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-16
处罚有效期,2099-12-31
公示截止期,2023-11-16
处罚机关,大连市生态环境局
