组织名称,大连聚德帆船俱乐部有限公司
统一社会信用代码,91210202MA102UQK04
行政处罚决定文书号,辽大水罚决字「2022」00/号
法人代表人,候显彬
违法行为类型,违反了《辽宁省水路运输管理规定》（辽宁省人民政府令2017年第314号
违法事实,2022年8月23日，我处执法人员对石槽村附近水域井行日常检查，发现大连聚德帆船俱乐部有限公司所属“新棒捶岛002”号机帆船未力理《水路运输许可证和船舶营业运输证，涉嫌从事水上营业性旅游运输活动。
处罚依据,依据辽宁省水路运输管理规定》第二十五条：小型睿船运输经营者违反本规定，有个列情形之一的，由水路运输管理部阶责令停止经，没收违法所得，并处2000元以上1方元以下罚款：（一未经批准，擅自从事客运业务的：（三便用未取得船拍营运证件的船舶从事客运业务
处罚类别,"没收违法所得,罚款"
处罚内容,没收违法所得500元：处5000元罚款的行政处罚
罚款金额（万元）,0.50.05
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-16
处罚有效期,2027-11-16
公示截止期,2023-11-16
处罚机关,大连市交通运输局
