组织名称,大连中叶贸易有限公司
统一社会信用代码,91210242MA11E1VW45C
行政处罚决定文书号,大税二稽罚[2022】33号
法人代表人,张廷宇
违法行为类型,发票违法
违法事实,"我局在注册登记地址和生产经营地址未能找到你单位，经公告送达相关税务文书，你单位至今失联，属于走逃失联企业。通过金税三期税收管理系统进销资料对比分析，发现你单位购进、销售货物名称严重背离。你单位于2021年9月28日至2022年2月28日期间对外开具与实际经营业务情况不符的（或无真实业务对外开具）增值税专用发票106份，发票代码2102192130，发票号码，03347063-03347077;03407277-03407291;00120804-00120813;00136762-0013677101837097-01837106;02262748-02262762;03845448-03845450;03845455-038454620013223000132239;00126703-00126712，金额10,230,886.3元，税额1,330,015.19元价税合计11,560,901.49元。1、关于确认征管信息相关情况及证据的申请2、大连中叶贸易有限公司情况说明3、纳税人基本信息4、增值税纳税申报表5、未电报户信息6、增值税进项明细、增值税销项明细"
处罚依据,"根据《中华人民共和国发票管理法》第三十七条第一款、东北区域税务行政处罚裁量基准》第46条第（四1项的规定，该单位对外虚开金额10,230,886.3元"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,50--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-22
处罚有效期,2022-12-09
公示截止期,2023-11-22
处罚机关,国家税务总局大连市税务局第二稽香局
