组织名称,大连华能宾馆有限公司
统一社会信用代码,91210200669209957U
行政处罚决定文书号,大]应急罚[2022]6020号
法人代表人,郭瑞恒
违法行为类型,违反了《中华人民共和国安全生产法》第三十五条：“生产经营单位应当在有较大危险因素的生产经营场所和有关设施、设备上，设置明显的安全警示标志。”《工贸企业有限空间作业安全管理与监督暂行规定》（原国家安全生产监督管理总局令第59号】第七条：“工贸企业应当对本企业的有限空间进行辨识，确定有限空间的数量、位置以及危险有害因素等基本情况，建立有限空间管理台账，并及时更新。”《工贸企业有限空间作业安全管理与监督暂行规定》（原企业有限空间作业的特点，制定应急预案，并配备相关的呼吸器、防毒面罩、通讯设备、安全绳索等应急装备和器材。有限空间作业的现场负责人、监护人员、作业人员和应急救援人员应当掌握相关应急预案内容，定期进行演练，提高应急处置能力。“
违法事实,1.未建立有限空间管理制度和台账：2.未制定有限空间应急预案和定期进行演练：3.3楼醇基燃料储罐间和配电箱未设置安全警示标志；4.厨房汽蒸柜未设置当心高温安全警示标志：5.化粪池未设置有限空间安全警示标志6.餐余隔油池井未设置有限空间安全警示标志。
处罚依据,依据《中华人民共和国安全生产法》第九十九条：“生产经营单位有下列行为之一的，责令限期改正，处五元以下的罚款：（一）未在有较大危险因素的生产经营场所和有关设施、设备上设置明显的安全警示标志的：”《工贸企业有限空间作业安全管理与监督暂行规定》（原国家安全生产监督管理总局令第59号）第三十条：“工贸企业有下列情形之一的，由县级以上安全生产监督管理部门责令限期改正，可以处3元以下的罚款：（一）未按照本规定对有限空间作业进行辨识、提出防范措施、建立有限空间管理台账的：”《工贸企业有限空间作业安全管理与监督暂行规定》（原国家安全生产监督管理总局令第59号）第二十九条：“工贸企业有下列情形之一的，由县级以上安全生产监督管理部门责令限期改正，可以处5万元以下的罚款：（二）未按照本规定对有限空间作业制定应急预案，或者定期进行演练的。“的规定
处罚类别,罚款
处罚内容,处人民币伍万元罚款的行政处罚
罚款金额（万元）,5--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-23
处罚有效期,2099-12-31
公示截止期,2023-11-23
处罚机关,大连市应急局
