组织名称,大连孝慈生物科技有限公司
统一社会信用代码,91210204554999485H
行政处罚决定文书号,大税一稽罚【2022】49号
法人代表人,王丽敏
违法行为类型,发票违法
违法事实,"根据国家税务总局南昌市税务局稽查局发来的《协查函》（洪税稽协【2022】34号）和《已证实虚开通知单》，你单位取得了江西正荣贸易有限公司2016年11月至12月虚开的增值税普通发票50份：发票代码为3600162320，发票号码为16729495-16729524,23391626，23391628-23391646，品名为生物试剂，发票金额4，420,735.00元，税额132,595.00元，价税合计4,553,330.00元。据你单位的法定代表人王丽敏陈述，上述发票是江西正荣贸易有限公司（以下简称江西正荣）向你单位销售生物试剂开具的。你单位主要从事医药试剂的销售，2016年初，一个叫张宇（已联系不上：电话18245348377非本人使用，）的人联系你单位总经理齐峰（电话：13390533444）：自称是江西正荣贸易有限公司的业务员，向你单位推销生物试剂，主丽敏与齐峰商议后决定从江西正荣贸易有限公司购进生物试剂。上述试剂由江西正荣贸易有限公司负责运输至你单位，发票是对方邮寄来的，双方签订有合同。你单位根据江西正荣出具的《付款指示函》，部分通过王丽敏和齐峰的个人银行账户转账至对方指定的其麦、于大亮、张晶晶等个人账户（具体详见《付款指示函》和《支付业务回单》），部分通过对公银行转账支付。你单位购入的生物试剂主要销售给大连医科大学附属第二医院等单位，未签大连医科大学附属第二医院等单位的货款。根据你单位提供的情况说明显示，你单位因2021年装修改造办公场所，管理不善：所存放资料已全部被清空，无从查找，导致全部账簿资料均已丢失，无法提供。经核实，你单位与开票单位签订了合同，货款主要通过法定代表人和总经理的个人账户转账到开票单位指定的个人账户，部分通过对公转账付款。你单位未能提供账簿资料。已对你单位未按规定保管账簿事项下达《责令限期改正通知书》（大税一稽限改【2022】20号）：你单位限期内未改正。上述违法事实，主要有以下证据证明；1：《询问（调查）笔录（第1次）（被询问人：王丽敏）》及王丽敏身份证复制件：2.《情况说明》。"
处罚依据,你单位未按规定保管账薄、记账凭证和有关资料的行为，《中华人民共和国税收征收管理法》第二十四条第一款和《中华人民共和国税收征管法实施细则》第二十九第二款的规定，属于违法行为。根据《中华人民共和国税收征收管理法》第六十条第（二）项的规定，应当予以处罚。根据《国家税务总局大连市税务局关于修改<大连市税务行政处罚裁量基准>的公告》（国家税务总局大连市税务局公告2021年第6号)第三十六条的规定，对你单位未按照规定保管账簿、记账凭证和有关资料的行为，
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,0.4
没收违法所得、没收非法财物的金额（万元）,--
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-23
处罚有效期,2022-12-09
公示截止期,2023-11-23
处罚机关,国家税务总局大连市税务局第一稽查局
