组织名称,大连毅诚建筑劳务有限公司
统一社会信用代码,91210282MA0UWK8L6F
行政处罚决定文书号,普人社监罚决字【2023】009号
法人代表人,张会田
违法行为类型,《劳动保障监察条例第六条
违法事实,2023年1月11日，我局对该单位发出调查询问通知书（普人社监询字[22081101541号），对该单位执行劳动保障法律、法规和规章的情况进行检查（调查），请该单位的法定代表人或者法定代表人的授秘委托人日内到大连市普兰店区劳动保障监察行政执法队接受询问、报送书面材料，该单位未在规定时间内接受询问报送书面材料。针对以上违法行为，我局于2023年2月15日下达了限期整改指令书（普人社监令字[2308120013]号，该单位未在规定期限内进行改止
处罚依据,《劳动保障监察条例》第三十条（三）项、《大连市人力资源和社会保障行政处罚裁量标准》第77条
处罚类别,罚款
处罚内容,罚款2万元
罚款金额（万元）,2--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-02
处罚有效期,2099-12-31
公示截止期,2024-03-02
处罚机关,大连市普兰店区人力资源和社会保障局
