组织名称,大连信辉家离养殖专业合作社
统一社会信用代码,93210283MA0YTDAA71
行政处罚决定文书号,2022050021
法人代表人,曲柚林
违法行为类型,《中华人民共和国固体废物污梁环境防治法》六十五条第二款：“从事蓄离规模养殖应当及时收集、贮存、利用或者处置养殖过程中产生的蓄离粪污等固体废物，避免造成环境污染。”
违法事实,2022年9月15日，庄河生态环境分局执法人员检查发现，大连信辉家离养殖专业合作社养鸡场北侧空地有2堆鸡粪堆放，占地面积约150平方米，未及时收集贮存、利用。
处罚依据,《中华人民共和国固体废物污梁环境防治法》第一百零七条：“从事蓄离规模养殖未及时收集、贮存、利用或者处置养殖过程中产生的蓄离粪污等固体废物的由生态环境主管部阳门责令改正，可以处十万元以下的罚款：情节严重的，报经有批准权的人民政府批准，责令停业或者关闭。”
处罚类别,罚款
处罚内容,罚款人民币壹万元整￥10000#
罚款金额（万元）,1--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-12-08
处罚有效期,2099-12-31
公示截止期,2023-12-08
处罚机关,大连市生态环境局
