组织名称,大连奥特迈仪器有限公司
统一社会信用代码,91210203773020943B
行政处罚决定文书号,大税二稽罚【2022】42号
法人代表人,昊晓玲
违法行为类型,发票违法
违法事实,"大连奥特迈仪器有限公司法定代表人昊晓玲陈述：你单位主要经营石油产品分析仪器仪表的研发和生产，研发过程中需要从外部聘请一些高技术的软硬件工程师，你单位向这些外聘的技术人员以现金方式支付劳务费，这些外聘的技术人员已经无法联系。因为这些费用没有取得发票无法列支成本，昊晓玲通过互联网与中麟（大连）人力资源服务有限公司取得联系，：2019年7月-2020年4月陆续从中麟（大连】人力资源服务有限公司取得9份增值税普通发票，价税合计1295，535.00元，你单位按照发票上的价税合计金额向中麟（大连）人力资源服务有限公司转账付款，再由中麟（大连）人力资源服务有限公司负责人于永才扣除大约3%的开票费后以现金方式返还给昊晓玲剩余的钱款。由于你单位提供不出外部聘请技术人员名单及联系方式，也无法提供向这些外聘的技术人员结算劳务费的结算单据，没有证据证明上述业务真实存在。你单位的上述行为造成多计2019年主营业务成本888，520.00元、多计2020年主营业务成本407,015.00元。"
处罚依据,"你单位在无真实货物交易的情况下，为虚列成本少缴税款，以支付开票费方式取得中麟（大连）人力资源服务有限公司开具的9份增值税普通发票的行为，根据《中华人民共和国税收征收管理法》第六十三条第一款""纳税人伪造、变造、隐置、擅自销毁账簿、记账凭证,或者在账簿上多列支出或者不列、少列收入,或者款的,是偷税。对纳税人愉税的，由税务机关道缴其不缴或者少缴的税款、滞纳金，并处不缴或者少缴的税款百分之五十以上五倍以下的罚款：构成犯罪的，依法追究刑事责任”、《国家税务总局大连市税务局关于发布大连市税务行政处罚裁量基准>的公告（2018年第14号）第三十五条第一项纳税人实施偷税且同时符合下列情况的，处不缴或者少缴的税款百分之五十以上一倍以下的罚款：1纳税人配合税务机关检查的；2.偷税比例在百分之五十以下的。“的规定"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,3.238838--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-12-08
处罚有效期,2022-12-23
公示截止期,2023-12-08
处罚机关,国家税务总局大连市税务局第二稽查局
