组织名称,庄河市康宁堂大药房
统一社会信用代码,91210283MA0QCAHK5G
行政处罚决定文书号,庄市监药处罚【2022】24号
法人代表人,唐淑艳
违法行为类型,"违反了《中华人民共和国药品管理法》第九十八条第一款""禁止生产（包括配制，下同）、销售、使用假药、劣药。”、第二款有下列情形之一的，为假药：第（一】项“药品所含成份与国家药品标准规定的成份不符：“的规定，"
违法事实,庄河市康宁堂大药房于2021年05月28日从大连德昌药业有限公司医药批发分公司购进“酒女贞子”（产地：四川，生产企业：安国市荣华本草中药材有限公司，批号：C021210101111公斤，截至案发已全部出售：购进价为0.0102元克、零售价为0.03元/克。该批药品货值金额为30.00元，违法所得19.80元。
处罚依据,依据《中华人民共和国药品管理法实施条例》第七十五条“药品经营企业、医疗机构未违反《药品管理法》和本条例的有关规定，并有充分证据证明其不知道所销售或者便用的约品是假约、约的，应当没收其销售或者便用的假约、势约和违法所得：但是，可以免除其他行政处罚。“依据《关于。药品管理法药品管管理法实施条例》第及十条规定的违法所得是指售出价格与购入价格的差价，依据“药品经营企业、医疗机构备以下情形的，视为符合《药品管理法实施条例》第七十五条的“充分证据”，依据该条规定，没收其销售或者适用的假药、劣药的违法所得，但是可以免除其他行政处罚。（一）进货渠道合法，且能提供真实合法的药品生产或者经营许可证、营业执照、授权委托书、销售票据、药品合格证明等证明：（二）药品购（销）记录、入库检查验收记录真实完整：（三约品的储存、保管和养护未违反有关规定且有真实完整的记录。“的规定
处罚类别,没收违法所得
处罚内容,1、责令改正违法行为；2、没收违法所得19.80元（壹拾玖元捌角整）。
罚款金额（万元）,--0.00198
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-09
处罚有效期,2027-11-09
公示截止期,2023-11-09
处罚机关,庄河市市场监督管理局
