组织名称,瓦房店金煜轴承制造有限公司
统一社会信用代码,91210281751573782Q
行政处罚决定文书号,2022040026
法人代表人,马民
违法行为类型,《排污许可管理条例》第二条第一款：“依照法律定实行排污许可管理的企业事业单位和其他生产经营者（以下称排污单位，应当依照本条例规定甲请取得排污许可证：未取得排污许可证的，不得排放污物。”
违法事实,2022年8月25日-26日，大连市瓦房店（长兴岛经济区生态环境分局执法人员对瓦房店金煜轴承制造有限公司检查时发现，你公司于2020年9月未安装了1台燃气加热炉用于生产，使用了5个月后，因为安全生产不合格停用。于2021年3月，又重新便用煤媒气发生炉生产。经执法人员调阅全国排污许可证管理信息平合发现，你公可于2020年进行了排污许可登记，但便用煤气发生炉排放大气污物，依据《固定污染源排污许可分类管理名录》第80项和第110项之规定，应当属于排污许可证简化管理，而你公可进行的排污许可登记的内容里并不包括煤气发生炉排放的大气污染物。你公可存在未取得排污许可证排放大气污染物的行为。
处罚依据,（排污许可管理条例》第三十三条第一项：“违反本条例规定，排污单位有下列行为之一的，由生态环境主管部阳门责令改正或者限制生产、停产整治，处20万元以上100万元以下的罚款：情节严重的，报经有批准权的人民政府批准，责令停业、关闭：（一）未取得排污许可证排放污染物：。”
处罚类别,罚款
处罚内容,罚款人民币贰搭万元整￥200000#
罚款金额（万元）,20
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-11-16
处罚有效期,2099-12-31
公示截止期,2023-11-16
处罚机关,大连市生态环境局
