组织名称,大连住化金港化工有限公司
统一社会信用代码,91210213691447871T
行政处罚决定文书号,大应急罚【2023】6001号
法人代表人,高毫宽
违法行为类型,违反了《中华人民共和国安全生产法》第三十五条：“生产经营单位应当在有较大危险因素的生产经场所和有关设施、设备上，设置明显的安全警示标志。”和《中华人民共和国安全生产法》第二十八条第四款：“生产经营单位应当建壹安全生产教育和培训档案，如实记录安全生产教育和培训的时间、内容、菱加人员以及考核结果等情况。“的规定
违法事实,1、高压变电所外污水井、生活废水贮水井未设置安全警示标志。2、未如实记录工务部阿部智彦的安全生产教育和培训记。
处罚依据,依据《中华人民共和国安全生产法》第九十九条：“生产经营单位有下列行为之一的，责令限期改正，处五万元以下的罚款：（一）未在有较大危险因素的生产经营场所和有关设施、设备上设置明显的安全警示标志的：“和《中华人民共和国安全生产法》第九十七条：“生产经营单位有下列行为之一的，责令限期改正，处十方元以下的罚款：（四】未如实记安全生产教育和培训情况的：“的规定
处罚类别,罚款
处罚内容,合并处罚，处人民币肆万元罚款的行政处罚。
罚款金额（万元）,4
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-27
处罚有效期,2099-12-31
公示截止期,2024-03-27
处罚机关,大连市应急管理局
