组织名称,庄河市江玉花岗岩石材开发有限公司
统一社会信用代码,91210283736447737X
行政处罚决定文书号,主自然资国王规监罚字【2022】2-009号
法人代表人,王超
违法行为类型,国丫中》《国丫中、《中华人民共和国土地管理法》第4条、中华人民共和国土地管理法》第77条
违法事实,在庄河市太平岭乡帽盔村申屯占地建设轻钢结构建筑、污水处理池及硬化地面等其他设施
处罚依据,《中华人民共和国士地管理法》第44祭、《中华人民共和国士地管理法》第2条《中华人民共和国士地管理法》第4条、中华人民共和国士地管理法》第条
处罚类别,罚款
处罚内容,1、责令退还非法占用的10893平方米士地：2、限30日内自行拆除在非法占用的1了93平方米旱地（基本农由上建设的轻钢结构建筑、污水处理池及硬化地面等其他设施，恢复士地原状：3、对非法占用的1/93平方米旱地（基本农由，处以每平方米30元的罚款：对非法占用的8413平方米采矿用地和687平方米河流水面，处以每平方米10元的罚款。罚款额合计：144790元（1793m×30元/m+8413m×10元/m+687m×10元/m）。
罚款金额（万元）,14.47
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-08-22
处罚有效期,2023-08-22
公示截止期,2023-08-22
处罚机关,庄河市自然资源局
