组织名称,大连南山花园酒店有限公司
统一社会信用代码,912102021184240608
行政处罚决定文书号,(中)应急罚[2022] 2号
法人代表人,戚克榛
违法行为类型,"《中华人民共和国安全生产法》第二十八条第四款""生产经营单位应当建立安全生产教育和培训档案，如实记录安全生产教育和培训的时间、内容、参加人员以有关规定经专门的安全作业培训，取得相应资格，方可上岗作业。”：第三十五条“生产经营单位应当在有较大危险因素的生产经营场所和有关设施、设备上，设置明显的安全警示标志。”：第八十条“生产经营单位应当制定本单位生产安全事故应急救援颁案，与所在地县级以上地方人民政府组织制定的生产安全事故应急救援预案相衔接，并定期组织演练。”：《特种作业人员安全技术培训考核管理规定》（原国家安全生产监督管理总局令第30号）第三十四条""生产经营单位应当加强对本单位特种作业人员的管理，建立健全特种作业人员培训、复审档案，做好申报、培训、考核、复审的组织工作和日常的检查工作”"
违法事实,1.油库门、污水处理间、室外醇基然料罐区未设置明显的安全警示标志：2.值班电工郭永兴未持电工特种作业证上岗：3.未如实记录王雷、刑晓峰、王进安教育培训和考核情况：4.未制定生产安全事故应急救援预案：5.特种作业人员管理档案不健全。
处罚依据,"《中华人民共和国安全生产法》第九十七条“生产经营单位有下列行为之一的责令限期改正，处十万元以下的罚款：逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款，对其直接负责的主管人员和其他直接责任人员：（六）未按照规定制定生产安全事故应急救援预案或者未定期组织演练的：（七】特种作业人员未按照规定经专门的安全作业培训并取得相应资格，上岗作业的”第九十九条“生产经营单位有下列行为之一的，责令限期改正，处五万元以下的罚款：逾期未改正的，处五万元以上二十万元以下的罚款，对其直接负责的主管人员和其他直接责任人员处一万元以上二万元以下的罚款：情节严重的，责令停产停业整顿：构成犯罪的，依照刑法有关规定追究刑事责任：（一）未在有较大危险因素的生产经营场所和有关设施、设备上设置明显的安全警示标志的及《特种作业人员安全技术培训考核管理规定》（原国家安全生产监督管理总局令第30号）第三十八条""生产经营单位未建立健全特种作业人员档案的，给予警告，并处1万元以下的罚款”：《安全生产行政处罚自由裁量适用规则(试行)人员违反不同的法律规定，或者违反同一条款的不同违法情形，有两个以上应当给予行政处罚的违法行为的，应当适用不同的法律规定或者同一法律条款规定的不同违法情形，分别裁量，合并处罚“及第十四条：“当事人有下列情形之一的，应当依法从轻处罚：（二】主动消除或者减轻安全生产违法行为危害后果的"
处罚类别,"罚款,警告"
处罚内容,1.油库门、污水处理间、室外醇基燃料罐区未设置明显的安全警示标志的行为罚款人民币壹万元：2.值班电工郭永兴未持电工特种作业证上岗的行为罚款人民币伍仟元：3.未如实记录王雷、刑晓峰、王进安教育培训和考核情况的行为罚款人民币伍仟元；4.未制定生产安全事故应急救援预案的行为罚款人民币伍仟元：5.特种作业人员管理档案不健全的行为给予警告，并处罚款人民币伍仟元。综上，决定给予警告，并处人民币参方元罚款的行政处罚
罚款金额（万元）,
没收违法所得、没收非法财物的金额（万元）,--
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-24
处罚有效期,2022-11-24
公示截止期,2023-11-24
处罚机关,大连市中山区应急管理局
